asset,strategy,interval,score_th,rule,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF,_max_hold,_trailing_pct,_take_profit_pct,_cut_1bar_neg,_cut_short_thr,_cut_short_at
us,trend_pullback,1d,60,hold_252d_trail20_TP30,16128,50.3,8.28,0.24,76.2,inf,,17.14,2.15,252,0.2,0.3,False,-999,2
us,trend_pullback,1d,60,hold_60d_trail15,16128,48.0,5.33,-1.16,42.0,1.3706897231568976e+187,-100.0,10.19,1.88,60,0.15,0.0,False,-999,2
us,trend_pullback,1d,60,hold_120d_trail20_TP25,16128,54.2,6.55,6.76,58.4,1.7976843575384583e+283,-100.0,15.22,1.95,120,0.2,0.25,False,-999,2
us,trend_pullback,1d,60,hold_252d_trail15,16128,45.6,8.32,-2.36,75.5,1.0382251073786883e+295,-100.0,12.41,2.33,252,0.15,0.0,False,-999,2
us,trend_pullback,1d,70,hold_252d_trail20_TP30,19038,51.3,8.65,1.53,80.1,inf,,19.76,2.23,252,0.2,0.3,False,-999,2
us,trend_pullback,1d,70,hold_60d_trail15,19038,49.6,5.44,-0.21,43.5,2.2801859285908145e+244,-100.0,11.92,1.95,60,0.15,0.0,False,-999,2
us,trend_pullback,1d,70,hold_120d_trail20_TP25,19038,55.4,6.75,7.92,60.9,inf,,17.49,2.01,120,0.2,0.25,False,-999,2
us,trend_pullback,1d,70,hold_252d_trail15,19038,46.6,8.95,-1.81,80.3,inf,,14.55,2.47,252,0.15,0.0,False,-999,2
us,trend_pullback,1d,75,hold_252d_trail20_TP30,17622,51.3,8.61,1.31,81.2,inf,,19.0,2.23,252,0.2,0.3,False,-999,2
us,trend_pullback,1d,75,hold_60d_trail15,17622,49.5,5.28,-0.26,43.7,4.675660671588351e+220,-100.0,11.33,1.93,60,0.15,0.0,False,-999,2
us,trend_pullback,1d,75,hold_120d_trail20_TP25,17622,55.4,6.72,7.83,61.7,inf,,16.81,2.01,120,0.2,0.25,False,-999,2
us,trend_pullback,1d,75,hold_252d_trail15,17622,46.2,8.85,-1.94,80.9,inf,,13.94,2.46,252,0.15,0.0,False,-999,2
us,trend_pullback,1d,80,hold_252d_trail20_TP30,13953,51.0,8.43,1.02,80.7,inf,,16.54,2.19,252,0.2,0.3,False,-999,2
us,trend_pullback,1d,80,hold_60d_trail15,13953,49.4,5.31,-0.34,43.6,1.3429283529999299e+172,-100.0,9.91,1.92,60,0.15,0.0,False,-999,2
us,trend_pullback,1d,80,hold_120d_trail20_TP25,13953,55.2,6.58,7.66,61.4,2.853526584415915e+252,-100.0,14.62,1.98,120,0.2,0.25,False,-999,2
us,trend_pullback,1d,80,hold_252d_trail15,13953,46.0,8.9,-2.02,80.3,4.722242571541953e+283,-100.0,12.33,2.45,252,0.15,0.0,False,-999,2
us,trend_pullback,1d,85,hold_252d_trail20_TP30,10045,51.2,8.52,1.34,77.1,1.7669102552682407e+233,-100.0,14.04,2.19,252,0.2,0.3,False,-999,2
us,trend_pullback,1d,85,hold_60d_trail15,10045,49.0,5.62,-0.55,42.7,4.157197922935726e+129,-100.0,8.45,1.96,60,0.15,0.0,False,-999,2
us,trend_pullback,1d,85,hold_120d_trail20_TP25,10045,54.9,6.62,7.79,59.1,6.189705729764918e+180,-100.0,12.31,1.97,120,0.2,0.25,False,-999,2
us,trend_pullback,1d,85,hold_252d_trail15,10045,46.2,9.23,-2.06,77.5,1.568567795889001e+211,-100.0,10.61,2.49,252,0.15,0.0,False,-999,2
us,trend_pullback,1d,90,hold_252d_trail20_TP30,6340,51.4,8.66,1.29,76.7,7.19778577196105e+151,-100.0,11.32,2.21,252,0.2,0.3,False,-999,2
us,trend_pullback,1d,90,hold_60d_trail15,6340,48.7,5.63,-0.71,42.6,2.76360886809367e+81,-100.0,6.62,1.95,60,0.15,0.0,False,-999,2
us,trend_pullback,1d,90,hold_120d_trail20_TP25,6340,54.7,6.56,7.88,59.0,1.0418970990133156e+113,-100.0,9.67,1.95,120,0.2,0.25,False,-999,2
us,trend_pullback,1d,90,hold_252d_trail15,6340,46.2,9.32,-1.99,76.9,1.2897376228955583e+136,-100.0,8.46,2.52,252,0.15,0.0,False,-999,2
