asset,strategy,interval,score_th,rule,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF,_max_hold,_trailing_pct,_take_profit_pct,_cut_1bar_neg,_cut_short_thr,_cut_short_at
us,trend_pullback,1w,60,hold_52w_trail20_TP30,7340,51.5,7.3,1.37,25.7,3.099506645209528e+131,-100.0,10.06,1.97,52,0.2,0.3,False,-999,2
us,trend_pullback,1w,60,hold_26w_trail15,7340,51.1,7.78,0.56,18.9,3.212560559785678e+135,-100.0,8.51,2.29,26,0.15,0.0,False,-999,2
us,trend_pullback,1w,60,hold_52w_trail15,7340,48.4,9.34,-0.83,26.5,1.9159941661291487e+151,-100.0,8.77,2.44,52,0.15,0.0,False,-999,2
us,trend_pullback,1w,60,hold_26w_trail20_TP25,7340,56.1,5.69,4.65,17.9,5.964746251288398e+108,-100.0,9.28,1.88,26,0.2,0.25,False,-999,2
us,trend_pullback,1w,70,hold_52w_trail20_TP30,7683,51.2,6.97,1.22,26.8,3.571350996850284e+132,-100.0,10.14,1.95,52,0.2,0.3,False,-999,2
us,trend_pullback,1w,70,hold_26w_trail15,7683,51.6,6.99,0.79,19.4,3.8911591657152866e+132,-100.0,8.75,2.2,26,0.15,0.0,False,-999,2
us,trend_pullback,1w,70,hold_52w_trail15,7683,48.6,8.49,-0.73,27.6,1.6826430830179684e+149,-100.0,8.98,2.35,52,0.15,0.0,False,-999,2
us,trend_pullback,1w,70,hold_26w_trail20_TP25,7683,56.5,5.44,4.62,18.6,6.113937513011867e+110,-100.0,9.4,1.87,26,0.2,0.25,False,-999,2
us,trend_pullback,1w,75,hold_52w_trail20_TP30,7180,50.8,6.67,0.68,27.3,1.0830756673091355e+119,-100.0,9.54,1.91,52,0.2,0.3,False,-999,2
us,trend_pullback,1w,75,hold_26w_trail15,7180,51.2,6.31,0.65,19.5,1.110315768800412e+112,-99.8,8.12,2.08,26,0.15,0.0,False,-999,2
us,trend_pullback,1w,75,hold_52w_trail15,7180,48.0,7.75,-1.03,27.7,8.877239991102072e+127,-100.0,8.37,2.24,52,0.15,0.0,False,-999,2
us,trend_pullback,1w,75,hold_26w_trail20_TP25,7180,56.3,5.25,4.34,18.8,1.857159553242641e+100,-99.9,8.91,1.84,26,0.2,0.25,False,-999,2
us,trend_pullback,1w,80,hold_52w_trail20_TP30,6019,51.0,6.63,0.83,27.3,4.594628464823647e+99,-99.9,8.75,1.91,52,0.2,0.3,False,-999,2
us,trend_pullback,1w,80,hold_26w_trail15,6019,51.5,6.12,0.88,19.6,1.636464795908286e+93,-99.8,7.6,2.06,26,0.15,0.0,False,-999,2
us,trend_pullback,1w,80,hold_52w_trail15,6019,48.5,7.59,-0.76,27.8,5.117128051322924e+106,-100.0,7.78,2.22,52,0.15,0.0,False,-999,2
us,trend_pullback,1w,80,hold_26w_trail20_TP25,6019,56.2,5.24,4.29,18.8,1.3294009597925899e+85,-99.8,8.25,1.85,26,0.2,0.25,False,-999,2
us,trend_pullback,1w,85,hold_52w_trail20_TP30,4706,51.8,7.12,1.67,26.7,4.195868305180893e+88,-99.8,8.3,2.0,52,0.2,0.3,False,-999,2
us,trend_pullback,1w,85,hold_26w_trail15,4706,52.1,6.77,1.18,19.4,1.9141306408146971e+83,-99.0,7.13,2.18,26,0.15,0.0,False,-999,2
us,trend_pullback,1w,85,hold_52w_trail15,4706,49.5,8.21,-0.26,27.4,6.395412130421064e+93,-99.9,7.2,2.35,52,0.15,0.0,False,-999,2
us,trend_pullback,1w,85,hold_26w_trail20_TP25,4706,56.9,5.65,4.94,18.5,4.877565784580666e+74,-99.5,7.79,1.92,26,0.2,0.25,False,-999,2
us,trend_pullback,1w,90,hold_52w_trail20_TP30,3046,52.3,7.57,2.49,26.8,3.222546189668627e+62,-99.9,6.99,2.05,52,0.2,0.3,False,-999,2
us,trend_pullback,1w,90,hold_26w_trail15,3046,52.2,6.82,1.13,19.5,1.0616156114813048e+54,-99.0,5.6,2.17,26,0.15,0.0,False,-999,2
us,trend_pullback,1w,90,hold_52w_trail15,3046,50.1,8.62,0.07,27.7,1.637644827508619e+65,-99.4,6.03,2.4,52,0.15,0.0,False,-999,2
us,trend_pullback,1w,90,hold_26w_trail20_TP25,3046,56.9,5.73,5.15,18.5,5.900016243905172e+49,-99.0,6.31,1.93,26,0.2,0.25,False,-999,2
