symbol,트리거_A,트리거_B,7일변화_%,최대body_%,최소간격_h,첫_트리거,마지막_트리거,현재_close
LABUSDT,24,2,259.98986736469266,97.78294640598682,1,05-29 14:00,06-03 19:00,16.20066
HUSDT,22,11,162.4410488587059,19.45576941310326,1,05-28 14:00,06-03 20:00,0.55648
EPICUSDT,14,3,147.6778656126482,21.282922684791835,1,05-29 22:00,06-03 19:00,0.5013
ALLOUSDT,21,4,91.32321041214749,21.025043680838685,1,05-28 23:00,06-03 00:00,0.1764
USUSDT,19,4,88.0206097037355,19.384986433524265,1,05-28 18:00,06-04 08:00,0.013137
MAGMAUSDT,6,5,74.13348946135834,12.482505831389554,1,05-30 23:00,06-04 00:00,0.44613
HOMEUSDT,10,3,54.83346872461414,14.793814432989697,2,05-31 15:00,06-03 02:00,0.03812
龙虾USDT,6,2,54.024216524216506,12.567567567567565,1,05-31 00:00,06-03 19:00,0.00865
STGUSDT,20,6,53.80434782608695,13.583617747440274,1,05-30 22:00,06-02 23:00,0.2547
WLDUSDT,7,2,53.22095123419627,7.969453691012328,2,05-30 22:00,06-04 06:00,0.509
MRVLUSDT,3,1,45.487019521030405,14.95610321315567,10,06-01 23:00,06-02 22:00,289.17
LITUSDT,7,2,44.50354609929079,8.864265927977847,1,05-29 23:00,06-03 02:00,1.63
MYXUSDT,13,8,41.262135922330096,13.524424707307228,1,05-30 13:00,06-04 07:00,0.291
PRLUSDT,7,5,37.42574257425743,13.659022931206385,3,05-28 14:00,06-04 02:00,0.2082
USELESSUSDT,5,4,35.72363636363636,6.904255319148931,1,05-30 00:00,06-03 22:00,0.09331
APRUSDT,6,4,34.10721577320189,13.015747587063272,1,05-29 23:00,06-03 11:00,0.2299
ARMUSDT,5,4,29.235080778107488,5.567099835623232,1,05-28 22:00,06-02 23:00,391.97
OPNUSDT,6,4,25.63625077591558,25.82017010935602,1,06-03 22:00,06-04 06:00,0.2024
JCTUSDT,6,4,24.021131137352388,14.501160092807439,1,05-28 21:00,06-03 06:00,0.003991
PIEVERSEUSDT,6,3,22.314061223915065,7.93512096553984,1,06-02 00:00,06-03 01:00,0.86865
SIRENUSDT,6,3,21.67042889390519,12.357289527720742,3,05-31 18:00,06-03 08:00,0.57673
SOXLUSDT,2,1,21.52745731425936,5.650173158119454,96,05-28 23:00,06-01 23:00,263.35
SMCIUSDT,4,1,18.528824950120757,7.208007735932894,6,05-28 23:00,06-02 05:00,45.15
VVVUSDT,4,3,17.683295083947343,8.597910692339216,10,06-01 11:00,06-04 06:00,19.486
ZORAUSDT,4,1,17.566241413150145,8.013937282229955,13,05-31 20:00,06-03 18:00,0.01198
ENAUSDT,3,0,16.825672159583686,9.201640135069962,1,06-03 01:00,06-04 06:00,0.10776
CUSDT,2,0,15.747756148735276,9.495896834701057,1,06-03 16:00,06-03 17:00,0.0993
XLMUSDT,6,4,15.321148226665912,10.112049963262299,3,05-28 21:00,05-31 20:00,0.20127
ARCUSDT,4,4,13.642627468994007,11.286459067211482,12,05-31 02:00,06-03 23:00,0.07422
VELVETUSDT,2,2,12.080968191067809,7.59358288770053,75,05-31 19:00,06-03 22:00,0.10465
STOUSDT,2,0,12.041884816753925,19.175815912167263,1,06-04 02:00,06-04 03:00,0.06848
JTOUSDT,4,1,11.259956553222308,6.902461826114055,1,06-02 00:00,06-02 17:00,0.6146
POETUSDT,5,1,10.473872366319304,10.222640326121043,1,06-01 22:00,06-04 02:00,14.524
INUSDT,5,2,10.319083657189596,8.394833948339476,2,05-29 09:00,06-03 19:00,0.10787
MEMEUSDT,3,1,10.00810372771475,7.2115384615384786,54,05-29 18:00,06-04 06:00,0.000543
INFQUSDT,3,2,9.086848318550185,7.049449546864562,1,05-29 00:00,06-02 00:00,17.095
SUSHIUSDT,2,1,9.004024144869215,7.868525896414333,17,06-03 13:00,06-04 06:00,0.2167
