symbol,트리거_A,트리거_B,7일변화_%,최대body_%,최소간격_h,첫_트리거,마지막_트리거,현재_close
LABUSDT,24,2,259.98986736469266,97.78294640598682,1,05-29 14:00,06-03 19:00,16.20066
HUSDT,22,11,162.4410488587059,19.45576941310326,1,05-28 14:00,06-03 20:00,0.55648
EPICUSDT,14,3,147.6778656126482,21.282922684791835,1,05-29 22:00,06-03 19:00,0.5013
ALLOUSDT,21,4,91.32321041214749,21.025043680838685,1,05-28 23:00,06-03 00:00,0.1764
USUSDT,19,4,88.0206097037355,19.384986433524265,1,05-28 18:00,06-04 08:00,0.013137
MAGMAUSDT,6,5,74.13348946135834,12.482505831389554,1,05-30 23:00,06-04 00:00,0.44613
HOMEUSDT,10,3,54.83346872461414,14.793814432989697,2,05-31 15:00,06-03 02:00,0.03812
龙虾USDT,6,2,54.024216524216506,12.567567567567565,1,05-31 00:00,06-03 19:00,0.00865
STGUSDT,20,6,53.80434782608695,13.583617747440274,1,05-30 22:00,06-02 23:00,0.2547
WLDUSDT,7,2,53.22095123419627,7.969453691012328,2,05-30 22:00,06-04 06:00,0.509
MRVLUSDT,3,1,45.487019521030405,14.95610321315567,10,06-01 23:00,06-02 22:00,289.17
LITUSDT,7,2,44.50354609929079,8.864265927977847,1,05-29 23:00,06-03 02:00,1.63
MYXUSDT,13,8,41.262135922330096,13.524424707307228,1,05-30 13:00,06-04 07:00,0.291
PRLUSDT,7,5,37.42574257425743,13.659022931206385,3,05-28 14:00,06-04 02:00,0.2082
USELESSUSDT,5,4,35.72363636363636,6.904255319148931,1,05-30 00:00,06-03 22:00,0.09331
APRUSDT,6,4,34.10721577320189,13.015747587063272,1,05-29 23:00,06-03 11:00,0.2299
