group,n,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18,t+19,t+20
00_1~6봉(합),5213,-1.38,-2.42,-3.08,-3.82,-4.34,-4.92,-4.94,-5.11,-5.21,-5.25,-5.58,-5.49,-5.57,-5.61,-5.85,-5.85,-5.89,-6.03,-6.28,-6.35
07봉,1303,-0.24,-0.19,0.03,-0.05,-0.35,-1.04,-2.82,-2.91,-3.04,-3.03,-3.21,-3.1,-3.13,-3.16,-3.16,-3.25,-3.4,-3.47,-3.66,-3.57
08봉,1499,0.0,0.16,0.49,0.65,0.74,0.45,0.11,-1.4,-1.32,-1.58,-1.64,-1.69,-1.64,-1.65,-1.56,-1.58,-1.7,-1.76,-1.63,-1.84
09봉,1304,0.41,0.85,1.28,1.57,1.79,1.87,1.91,1.58,0.02,0.07,0.1,0.03,-0.13,-0.17,-0.16,-0.2,-0.19,-0.19,-0.33,-0.49
10봉,885,1.22,2.19,2.61,3.03,2.76,3.38,4.0,3.96,4.17,1.98,2.24,2.31,2.14,2.37,2.44,2.02,2.24,2.11,2.04,1.98
11봉,732,0.7,1.87,2.62,3.19,3.73,4.31,4.57,4.52,5.04,4.72,2.81,2.6,2.36,2.81,3.01,2.76,2.77,2.73,2.22,1.91
12봉,442,0.57,1.21,1.86,2.84,3.96,4.53,5.3,6.04,6.05,6.35,5.61,3.48,3.38,3.75,3.07,3.35,3.57,3.3,3.52,3.34
13봉,343,0.31,1.02,1.14,1.72,2.66,3.19,3.64,4.36,5.16,5.42,5.8,4.97,3.18,2.79,2.86,2.8,2.96,3.02,2.7,2.74
14봉,275,0.42,0.81,1.45,2.09,3.51,4.32,5.25,6.36,6.85,7.18,8.01,8.06,7.51,5.42,5.37,5.37,5.64,5.46,5.18,4.7
15봉,267,0.07,0.3,1.02,1.29,2.78,3.51,5.19,6.59,7.46,8.0,8.76,9.16,9.09,8.89,5.99,5.52,5.9,5.88,6.61,6.69
16봉,212,0.16,0.75,1.35,1.29,1.96,3.29,4.94,6.08,6.84,7.62,7.85,8.81,9.34,9.24,9.06,6.24,6.28,6.49,6.96,7.14
17봉,164,0.72,1.45,1.35,2.58,2.92,3.71,3.98,5.88,6.9,7.95,8.5,9.6,9.89,9.59,10.5,10.11,7.31,7.8,7.86,7.38
18봉,147,-0.13,0.81,0.78,2.06,2.78,3.63,4.75,6.28,8.26,9.36,11.69,12.14,12.17,13.05,14.03,12.79,12.63,9.86,10.29,10.05
19봉,140,0.8,1.46,1.99,2.66,2.39,3.01,4.49,5.51,6.55,7.42,10.54,11.26,10.89,11.66,12.12,12.73,13.03,12.44,9.65,9.96
20봉,88,0.07,0.95,1.92,2.04,2.8,3.52,4.62,6.45,6.67,7.99,9.64,10.24,11.6,12.46,13.88,13.47,13.74,12.56,12.73,10.82
99_21봉+(합),384,0.56,0.78,1.55,1.86,2.74,3.69,4.58,5.86,6.91,8.37,9.48,10.6,12.01,13.45,15.02,15.47,16.52,17.99,18.52,19.5
