symbol,ts_kst,close,body_pct,t+1_close,t+2_close,t+3_close,t+4_close,t+5_close,t+6_close,t+7_close,t+8_close,t+9_close,t+10_close,t+11_close,t+12_close,t+13_close,t+14_close,t+15_close,t+16_close,t+17_close,t+18_close,t+19_close,t+20_close,close_now
0GUSDT,2025-12-25 20:00:00+09:00,0.9909,14.660958111548258,1.0783,1.0457,1.0252,1.0293,1.0179,1.0329,1.0455,1.068,1.0582,1.05,1.0377,1.0298,1.0805,1.1147,1.128,1.1361,1.1239,1.083,1.0172,1.0421,0.3567
0GUSDT,2026-02-12 10:00:00+09:00,0.602,5.134474327628358,0.6239,0.6196,0.6558,0.6658,0.7513,0.7291,0.6508,0.6702,0.6758,0.6505,0.639,0.6383,0.6373,0.6458,0.6353,0.6402,0.636,0.6366,0.6375,0.6388,0.3567
0GUSDT,2026-04-15 05:00:00+09:00,0.612,5.010295126973233,0.6049,0.6095,0.612,0.6053,0.6163,0.6157,0.6089,0.6105,0.6061,0.5984,0.5942,0.5933,0.5889,0.5899,0.591,0.5922,0.5918,0.5941,0.5932,0.5957,0.3567
1000000MOGUSDT,2025-12-28 02:00:00+09:00,0.2366,6.480648064806478,0.2427,0.2371,0.2349,0.2384,0.2356,0.238,0.2368,0.2366,0.2355,0.2387,0.2385,0.2363,0.2376,0.2365,0.235,0.2352,0.2356,0.2323,0.2326,0.2308,0.1154
1000000MOGUSDT,2026-01-02 07:00:00+09:00,0.2498,5.579036348267112,0.2479,0.2457,0.2459,0.2451,0.2572,0.2599,0.2611,0.263,0.265,0.2684,0.2736,0.2775,0.2742,0.2759,0.2751,0.2756,0.276,0.2779,0.2752,0.2755,0.1154
1000000MOGUSDT,2026-01-11 04:00:00+09:00,0.3341,5.494158509630574,0.3386,0.3327,0.3284,0.3318,0.3283,0.3276,0.3314,0.3302,0.3356,0.3333,0.3303,0.3331,0.3319,0.3389,0.3382,0.3383,0.3368,0.3308,0.3332,0.3255,0.1154
10000NEXUSDT,2026-05-29 20:00:00+09:00,0.03505,7.680491551459278,0.03475,0.03479,0.03482,0.03518,0.0357,0.03576,0.03564,0.03534,0.0352,0.03523,0.03501,0.03515,0.03521,0.03554,0.03551,0.03538,0.03559,0.03539,0.03482,0.03435,0.02934
1000BONKUSDT,2026-01-04 11:00:00+09:00,0.010491,7.051020408163272,0.010716,0.010811,0.01134,0.011163,0.011374,0.011742,0.011786,0.011864,0.011969,0.012249,0.012686,0.012801,0.012059,0.012244,0.012375,0.012196,0.012115,0.012056,0.011908,0.012047,0.004787
1000RATSUSDT,2025-12-10 14:00:00+09:00,0.03887,7.972222222222235,0.03833,0.0379,0.03822,0.03878,0.03847,0.03786,0.03815,0.03833,0.03825,0.03772,0.0378,0.03811,0.03797,0.03807,0.03794,0.038,0.03767,0.03816,0.03894,0.03856,0.031
1000RATSUSDT,2026-02-25 01:00:00+09:00,0.04922,5.193417396879679,0.04867,0.04964,0.04987,0.05019,0.05034,0.05065,0.05022,0.0504,0.04947,0.0491,0.04891,0.0496,0.05201,0.05124,0.05014,0.05001,0.04942,0.05014,0.05018,0.04933,0.031
1000SATSUSDT,2026-02-06 14:00:00+09:00,1.16e-05,5.839416058394167,1.135e-05,1.129e-05,1.128e-05,1.146e-05,1.158e-05,1.159e-05,1.158e-05,1.169e-05,1.202e-05,1.201e-05,1.227e-05,1.251e-05,1.215e-05,1.224e-05,1.225e-05,1.238e-05,1.242e-05,1.233e-05,1.217e-05,1.222e-05,1.022e-05
1000SATSUSDT,2026-04-16 13:00:00+09:00,1.571e-05,7.1623465211459765,1.671e-05,1.61e-05,1.756e-05,1.803e-05,1.682e-05,1.617e-05,1.739e-05,1.986e-05,1.776e-05,1.935e-05,2.179e-05,1.965e-05,1.889e-05,1.853e-05,1.857e-05,1.862e-05,1.8e-05,1.863e-05,1.848e-05,2.227e-05,1.022e-05
4USDT,2026-01-01 04:00:00+09:00,0.02062,12.309368191721122,0.02011,0.01994,0.01969,0.01971,0.01964,0.01986,0.01985,0.01997,0.02021,0.02068,0.02067,0.02041,0.02025,0.02014,0.02075,0.02102,0.02035,0.02063,0.02132,0.02169,0.00765
4USDT,2026-01-14 09:00:00+09:00,0.02587,6.548599670510713,0.02478,0.02776,0.02852,0.0279,0.02705,0.027,0.02765,0.02726,0.02704,0.02629,0.02552,0.02507,0.02453,0.02511,0.02492,0.02503,0.02397,0.02318,0.02319,0.0228,0.00765
4USDT,2026-01-27 21:00:00+09:00,0.01857,13.30079316656499,0.01867,0.01886,0.01907,0.01966,0.01917,0.01901,0.01876,0.01893,0.01887,0.01885,0.01884,0.01895,0.01842,0.01828,0.01807,0.01795,0.01824,0.01821,0.01823,0.01842,0.00765
4USDT,2026-03-20 10:00:00+09:00,0.00768,6.518723994452149,0.00781,0.00764,0.0075,0.00751,0.00754,0.00759,0.00761,0.00759,0.00756,0.00744,0.00767,0.00762,0.0077,0.00779,0.00769,0.00769,0.00758,0.00763,0.00762,0.00765,0.00765
4USDT,2026-03-25 20:00:00+09:00,0.01107,11.14457831325301,0.01116,0.01133,0.011,0.01112,0.01131,0.01135,0.01137,0.01138,0.0113,0.01152,0.01148,0.01162,0.01166,0.01155,0.01131,0.01146,0.0113,0.01062,0.01049,0.01071,0.00765
4USDT,2026-03-28 23:00:00+09:00,0.0133,8.306188925081434,0.01323,0.014,0.01404,0.01426,0.01468,0.01526,0.01471,0.01469,0.01484,0.01461,0.01515,0.01527,0.01527,0.01507,0.01471,0.01465,0.01502,0.01488,0.01509,0.01552,0.00765
4USDT,2026-03-29 01:00:00+09:00,0.014,5.820105820105819,0.01404,0.01426,0.01468,0.01526,0.01471,0.01469,0.01484,0.01461,0.01515,0.01527,0.01527,0.01507,0.01471,0.01465,0.01502,0.01488,0.01509,0.01552,0.01523,0.01335,0.00765
AAOIUSDT,2026-04-24 23:00:00+09:00,153.16,6.657381615598888,159.93,163.94,162.74,163.6,162.56,162.51,162.08,161.93,161.6,162.16,162.31,162.14,162.35,162.27,162.23,162.29,162.28,162.17,162.38,162.32,179.7
AAOIUSDT,2026-05-01 22:00:00+09:00,173.9,7.518239149251883,179.0,191.0,188.14,188.78,185.74,183.63,182.4,182.6,183.18,183.29,183.64,183.84,184.04,184.01,184.09,184.07,183.92,183.85,184.29,183.93,179.7
AAOIUSDT,2026-05-11 23:00:00+09:00,189.8,11.647058823529418,184.72,180.73,178.91,180.4,185.19,189.0,188.29,190.41,191.7,191.0,185.26,186.46,187.67,185.57,185.6,185.75,185.5,185.71,185.0,184.69,179.7
AAOIUSDT,2026-05-13 04:00:00+09:00,188.13,5.454035874439455,188.51,189.38,189.2,186.12,187.42,189.17,189.46,189.56,191.69,193.69,192.34,193.67,198.51,200.72,199.57,203.66,200.95,203.47,205.21,204.62,179.7
AAOIUSDT,2026-05-21 22:00:00+09:00,179.29,7.882544076057521,176.47,176.11,176.3,179.4,175.0,177.47,177.02,177.86,178.27,178.62,179.92,178.88,179.02,179.42,180.33,180.01,181.96,182.49,181.79,179.29,179.7
ACEUSDT,2025-12-16 06:00:00+09:00,0.2301,6.380027739251043,0.2767,0.2849,0.2859,0.2707,0.2701,0.2712,0.2785,0.2759,0.2714,0.2716,0.2511,0.2604,0.2722,0.2639,0.2669,0.2603,0.2596,0.2601,0.2604,0.2525,0.1035
ACEUSDT,2026-03-01 00:00:00+09:00,0.1551,8.461538461538462,0.1485,0.1459,0.1482,0.1495,0.1522,0.1509,0.1517,0.1508,0.1494,0.1519,0.1527,0.1506,0.1505,0.1504,0.1481,0.1493,0.1471,0.1463,0.1475,0.1462,0.1035
ACHUSDT,2026-04-04 03:00:00+09:00,0.006307,5.221888555221887,0.006335,0.006234,0.006172,0.006159,0.006241,0.006199,0.006244,0.006261,0.006274,0.006268,0.006311,0.006174,0.006186,0.006161,0.006179,0.006136,0.006134,0.006142,0.006122,0.0061,0.005648
ACHUSDT,2026-04-28 23:00:00+09:00,0.007228,5.134545454545455,0.007306,0.007309,0.007361,0.007332,0.0074,0.007404,0.007332,0.007404,0.007494,0.007556,0.007694,0.00743,0.00736,0.007448,0.007575,0.007437,0.007278,0.007264,0.0072,0.007216,0.005648
ACTUSDT,2025-12-21 01:00:00+09:00,0.03939,20.164734594264814,0.03943,0.04178,0.03946,0.0385,0.03754,0.03906,0.03936,0.0405,0.0396,0.03974,0.04144,0.03919,0.03982,0.03923,0.03918,0.03998,0.04075,0.03933,0.03718,0.03695,0.0106
ACTUSDT,2025-12-23 21:00:00+09:00,0.03626,5.437627217214317,0.03516,0.03642,0.03691,0.03722,0.03716,0.03668,0.03681,0.03734,0.03692,0.0372,0.03676,0.03707,0.03729,0.03706,0.03694,0.03724,0.03856,0.03883,0.03802,0.03877,0.0106
ACTUSDT,2026-02-15 01:00:00+09:00,0.01539,5.2667578659370715,0.01538,0.01558,0.01588,0.01612,0.01623,0.01619,0.01624,0.01624,0.01608,0.01613,0.01599,0.01601,0.01602,0.01586,0.01583,0.01568,0.01561,0.01552,0.01556,0.01515,0.0106
ACUUSDT,2026-01-23 17:00:00+09:00,0.19607,11.302225249772924,0.19531,0.18558,0.18682,0.18672,0.1952,0.20944,0.22084,0.25925,0.27819,0.28301,0.285,0.30514,0.2934,0.28973,0.28558,0.28251,0.31678,0.27276,0.2622,0.26437,0.08483
ACUUSDT,2026-01-26 18:00:00+09:00,0.24729,27.957156162682413,0.25636,0.25658,0.25556,0.26246,0.25221,0.27448,0.27149,0.27124,0.26603,0.25651,0.25618,0.25659,0.25769,0.2654,0.25337,0.27046,0.23183,0.23576,0.23307,0.2357,0.08483
ACUUSDT,2026-03-05 00:00:00+09:00,0.10382,7.954663616512415,0.0994,0.10048,0.09937,0.09904,0.09947,0.10024,0.10087,0.10089,0.10092,0.10041,0.10195,0.10255,0.10404,0.10429,0.10244,0.10182,0.10027,0.10193,0.10235,0.10212,0.08483
ACUUSDT,2026-04-22 05:00:00+09:00,0.10575,5.454726765057841,0.10133,0.10149,0.10242,0.10568,0.10606,0.11275,0.10792,0.10585,0.10533,0.10463,0.10137,0.10215,0.10039,0.10156,0.10163,0.10043,0.09563,0.09639,0.09608,0.09622,0.08483
ACXUSDT,2026-01-09 06:00:00+09:00,0.05609,5.79026782346285,0.05563,0.05765,0.05711,0.05537,0.05604,0.05508,0.05539,0.05656,0.05731,0.05703,0.05644,0.05616,0.05631,0.05489,0.05458,0.05591,0.05531,0.05449,0.05469,0.05373,0.04119
