category,symbol,ts_utc,ts_kst,close,body_pct,close_to_weekly_ma20_pct
base,4USDT,2026-05-05 02:00:00+00:00,2026-05-05 11:00:00+09:00,0.01615,7.4517631403859035,13.804523994080759
above_w20,4USDT,2026-05-05 02:00:00+00:00,2026-05-05 11:00:00+09:00,0.01615,7.4517631403859035,13.804523994080759
base,ACEUSDT,2026-05-07 01:00:00+00:00,2026-05-07 10:00:00+09:00,0.1347,5.813040062843668,-24.78012006142678
base,AEROUSDT,2026-05-18 21:00:00+00:00,2026-05-19 06:00:00+09:00,0.4142,5.073566717402338,5.034931341845341
above_w20,AEROUSDT,2026-05-18 21:00:00+00:00,2026-05-19 06:00:00+09:00,0.4142,5.073566717402338,5.034931341845341
w20_band_0to10,AEROUSDT,2026-05-18 21:00:00+00:00,2026-05-19 06:00:00+09:00,0.4142,5.073566717402338,5.034931341845341
base,AEVOUSDT,2026-05-09 06:00:00+00:00,2026-05-09 15:00:00+09:00,0.03236,6.098360655737707,10.810533164400917
base,AEVOUSDT,2026-05-15 14:00:00+00:00,2026-05-15 23:00:00+09:00,0.0296,7.5190701053396385,2.130596049340119
above_w20,AEVOUSDT,2026-05-09 06:00:00+00:00,2026-05-09 15:00:00+09:00,0.03236,6.098360655737707,10.810533164400917
above_w20,AEVOUSDT,2026-05-15 14:00:00+00:00,2026-05-15 23:00:00+09:00,0.0296,7.5190701053396385,2.130596049340119
w20_band_0to10,AEVOUSDT,2026-05-15 14:00:00+00:00,2026-05-15 23:00:00+09:00,0.0296,7.5190701053396385,2.130596049340119
base,AINUSDT,2026-05-13 14:00:00+00:00,2026-05-13 23:00:00+09:00,0.114,8.872123006398631,103.22123483639798
base,AINUSDT,2026-05-13 17:00:00+00:00,2026-05-14 02:00:00+09:00,0.13137,6.174735310757278,134.18573351278596
base,AINUSDT,2026-05-20 09:00:00+00:00,2026-05-20 18:00:00+09:00,0.09042,6.879432624113482,58.105946021559895
above_w20,AINUSDT,2026-05-13 14:00:00+00:00,2026-05-13 23:00:00+09:00,0.114,8.872123006398631,103.22123483639798
above_w20,AINUSDT,2026-05-13 17:00:00+00:00,2026-05-14 02:00:00+09:00,0.13137,6.174735310757278,134.18573351278596
above_w20,AINUSDT,2026-05-20 09:00:00+00:00,2026-05-20 18:00:00+09:00,0.09042,6.879432624113482,58.105946021559895
base,AIOUSDT,2026-05-11 06:00:00+00:00,2026-05-11 15:00:00+09:00,0.10875,5.562026790914384,5.493929855024666
base,AIOUSDT,2026-05-14 05:00:00+00:00,2026-05-14 14:00:00+09:00,0.10713,7.3446893787575185,3.9224340723567153
base,AIOUSDT,2026-06-03 02:00:00+00:00,2026-06-03 11:00:00+09:00,0.10429,8.760037543018031,4.363054137896531
above_w20,AIOUSDT,2026-05-11 06:00:00+00:00,2026-05-11 15:00:00+09:00,0.10875,5.562026790914384,5.493929855024666
above_w20,AIOUSDT,2026-05-14 05:00:00+00:00,2026-05-14 14:00:00+09:00,0.10713,7.3446893787575185,3.9224340723567153
above_w20,AIOUSDT,2026-06-03 02:00:00+00:00,2026-06-03 11:00:00+09:00,0.10429,8.760037543018031,4.363054137896531
w20_band_0to10,AIOUSDT,2026-05-11 06:00:00+00:00,2026-05-11 15:00:00+09:00,0.10875,5.562026790914384,5.493929855024666
w20_band_0to10,AIOUSDT,2026-05-14 05:00:00+00:00,2026-05-14 14:00:00+09:00,0.10713,7.3446893787575185,3.9224340723567153
w20_band_0to10,AIOUSDT,2026-06-03 02:00:00+00:00,2026-06-03 11:00:00+09:00,0.10429,8.760037543018031,4.363054137896531
base,AIXBTUSDT,2026-06-03 21:00:00+00:00,2026-06-04 06:00:00+09:00,0.02712,5.197827773467795,5.106094370700511
above_w20,AIXBTUSDT,2026-06-03 21:00:00+00:00,2026-06-04 06:00:00+09:00,0.02712,5.197827773467795,5.106094370700511
w20_band_0to10,AIXBTUSDT,2026-06-03 21:00:00+00:00,2026-06-04 06:00:00+09:00,0.02712,5.197827773467795,5.106094370700511
base,AKTUSDT,2026-05-08 17:00:00+00:00,2026-05-09 02:00:00+09:00,0.7254,5.0390964378801115,71.03649910402717
base,AKTUSDT,2026-05-21 00:00:00+00:00,2026-05-21 09:00:00+09:00,0.8364,5.793068555527456,81.23510292524378
base,AKTUSDT,2026-05-25 19:00:00+00:00,2026-05-26 04:00:00+09:00,0.9563,6.255555555555557,98.2770238749339
above_w20,AKTUSDT,2026-05-08 17:00:00+00:00,2026-05-09 02:00:00+09:00,0.7254,5.0390964378801115,71.03649910402717
above_w20,AKTUSDT,2026-05-21 00:00:00+00:00,2026-05-21 09:00:00+09:00,0.8364,5.793068555527456,81.23510292524378
above_w20,AKTUSDT,2026-05-25 19:00:00+00:00,2026-05-26 04:00:00+09:00,0.9563,6.255555555555557,98.2770238749339
base,ALGOUSDT,2026-05-30 01:00:00+00:00,2026-05-30 10:00:00+09:00,0.1348,5.891594658287516,29.596692784694522
above_w20,ALGOUSDT,2026-05-30 01:00:00+00:00,2026-05-30 10:00:00+09:00,0.1348,5.891594658287516,29.596692784694522
base,ALLOUSDT,2026-05-28 14:00:00+00:00,2026-05-28 23:00:00+09:00,0.1055,5.289421157684631,4.641936123784967
base,ALLOUSDT,2026-05-28 16:00:00+00:00,2026-05-29 01:00:00+09:00,0.1195,9.935602575896954,18.5280698274152
base,ALLOUSDT,2026-06-02 14:00:00+00:00,2026-06-02 23:00:00+09:00,0.1717,5.531653349723404,57.23443223443222
base,ALLOUSDT,2026-06-02 15:00:00+00:00,2026-06-03 00:00:00+09:00,0.2078,21.025043680838685,90.29304029304029
above_w20,ALLOUSDT,2026-05-28 14:00:00+00:00,2026-05-28 23:00:00+09:00,0.1055,5.289421157684631,4.641936123784967
above_w20,ALLOUSDT,2026-05-28 16:00:00+00:00,2026-05-29 01:00:00+09:00,0.1195,9.935602575896954,18.5280698274152
above_w20,ALLOUSDT,2026-06-02 14:00:00+00:00,2026-06-02 23:00:00+09:00,0.1717,5.531653349723404,57.23443223443222
above_w20,ALLOUSDT,2026-06-02 15:00:00+00:00,2026-06-03 00:00:00+09:00,0.2078,21.025043680838685,90.29304029304029
w20_band_0to10,ALLOUSDT,2026-05-28 14:00:00+00:00,2026-05-28 23:00:00+09:00,0.1055,5.289421157684631,4.641936123784967
base,ALTUSDT,2026-05-20 14:00:00+00:00,2026-05-20 23:00:00+09:00,0.007231,6.557618626584132,-14.436161401017639
base,ANKRUSDT,2026-05-06 00:00:00+00:00,2026-05-06 09:00:00+09:00,0.005364,8.079790449324992,0.9114767051386847
above_w20,ANKRUSDT,2026-05-06 00:00:00+00:00,2026-05-06 09:00:00+09:00,0.005364,8.079790449324992,0.9114767051386847
w20_band_0to10,ANKRUSDT,2026-05-06 00:00:00+00:00,2026-05-06 09:00:00+09:00,0.005364,8.079790449324992,0.9114767051386847
base,APPUSDT,2026-05-07 14:00:00+00:00,2026-05-07 23:00:00+09:00,497.02,6.88602150537634,0.9781483547014311
above_w20,APPUSDT,2026-05-07 14:00:00+00:00,2026-05-07 23:00:00+09:00,497.02,6.88602150537634,0.9781483547014311
w20_band_0to10,APPUSDT,2026-05-07 14:00:00+00:00,2026-05-07 23:00:00+09:00,497.02,6.88602150537634,0.9781483547014311
base,APRUSDT,2026-05-18 01:00:00+00:00,2026-05-18 10:00:00+09:00,0.16926,23.945518453427074,26.121896969900206
base,APRUSDT,2026-05-19 07:00:00+00:00,2026-05-19 16:00:00+09:00,0.17795,14.628961607833038,32.59713792859354
base,APRUSDT,2026-05-29 14:00:00+00:00,2026-05-29 23:00:00+09:00,0.18919,6.874929386509991,40.01679994375348
base,APRUSDT,2026-05-31 05:00:00+00:00,2026-05-31 14:00:00+09:00,0.18977,7.335972850678722,40.446049607939635
base,APRUSDT,2026-06-01 08:00:00+00:00,2026-06-01 17:00:00+09:00,0.18268,7.642448883389316,32.4752080349535
base,APRUSDT,2026-06-02 15:00:00+00:00,2026-06-03 00:00:00+09:00,0.20023,13.015747587063272,45.20205224895301
above_w20,APRUSDT,2026-05-18 01:00:00+00:00,2026-05-18 10:00:00+09:00,0.16926,23.945518453427074,26.121896969900206
above_w20,APRUSDT,2026-05-19 07:00:00+00:00,2026-05-19 16:00:00+09:00,0.17795,14.628961607833038,32.59713792859354
above_w20,APRUSDT,2026-05-29 14:00:00+00:00,2026-05-29 23:00:00+09:00,0.18919,6.874929386509991,40.01679994375348
above_w20,APRUSDT,2026-05-31 05:00:00+00:00,2026-05-31 14:00:00+09:00,0.18977,7.335972850678722,40.446049607939635
above_w20,APRUSDT,2026-06-01 08:00:00+00:00,2026-06-01 17:00:00+09:00,0.18268,7.642448883389316,32.4752080349535
above_w20,APRUSDT,2026-06-02 15:00:00+00:00,2026-06-03 00:00:00+09:00,0.20023,13.015747587063272,45.20205224895301
base,ARCUSDT,2026-05-15 16:00:00+00:00,2026-05-16 01:00:00+09:00,0.06666,13.425216947422145,17.57339518312418
