pattern,hold_days,count,n_symbols,win_rate,mean_short_ret,median_short_ret,p25,p75,std,max_loss,max_gain,expectancy_per_trade,sharpe_like
S1_bear_flag,5,10619,451,0.49298427347207835,-0.007617539655949154,-0.002399232245681393,-0.07816098867283194,0.07996131051448374,0.17426918336740466,-3.9239202657807315,0.78027496099844,-0.007617539655949154,-0.043711340747430966
S1_bear_flag,10,10591,451,0.5088282504012841,-0.008854894631429598,0.002888503755054894,-0.10255531382658112,0.10775361138884193,0.23800502437929724,-9.100090171325519,0.773520827805784,-0.008854894631429598,-0.037204654206450596
S1_bear_flag,20,10571,450,0.5482924983445275,-0.02038080468869159,0.02527075812274371,-0.1489047820838887,0.16948649785132647,0.369638164014753,-13.914337240757439,0.8338020695144601,-0.02038080468869159,-0.05513717649533112
S2_steady_decline,5,7357,316,0.5216800326219927,0.0031791351429244093,0.002859292701279159,-0.04046963137872228,0.048979842674532925,0.09600510123358941,-1.0018440905280803,0.7280500521376434,0.0031791351429244093,0.0331142314530691
S2_steady_decline,10,7294,314,0.5001370989854675,-0.0015968646239929894,6.458280806653782e-05,-0.06356477074444444,0.06997150179013273,0.13680968231665716,-1.8963918564805482,0.7259473684210527,-0.0015968646239929894,-0.011672160894993646
S2_steady_decline,20,7282,314,0.5254051084866794,-0.008229541951009372,0.008251988559416668,-0.09020533169452405,0.10091039993769321,0.21106906030123251,-3.3896226415094333,0.7020915171461939,-0.008229541951009372,-0.03898980712409661
S3_ma_rejection,5,127693,461,0.5469681188475484,0.0051240540410611305,0.010065127294256904,-0.05242494226327943,0.07478991596638662,0.15067568204365775,-23.47534955144266,0.7280500521376434,0.0051240540410611305,0.034007173364421564
S3_ma_rejection,10,127235,461,0.5599088301174991,0.004956198908753308,0.01808176100628922,-0.07007442903523908,0.1051559835400892,0.42593604110330846,-87.44831487917239,0.854903780927559,0.004956198908753308,0.011636016750109224
S3_ma_rejection,20,126901,461,0.5865674817377325,0.006636734808508341,0.03800976639831066,-0.09562332097929227,0.15875232774674108,0.2801055727673651,-22.479105287641495,0.889749723303224,0.006636734808508341,0.023693690714323347
S4_stage3to4,5,33,19,0.5151515151515151,0.00982222469837316,0.0018163400747495118,-0.03358713441969696,0.027124773960216952,0.06838218031610489,-0.09277585986446746,0.15894099112369198,0.00982222469837316,0.1436371968979161
S4_stage3to4,10,32,18,0.4375,0.011853474145507581,-0.006441292824213463,-0.04564748244886363,0.04573815743713924,0.10613122611179973,-0.15037869533349624,0.27267061389841074,0.011853474145507581,0.1116869613191975
S4_stage3to4,20,31,17,0.5161290322580645,0.010883876892804381,0.0033053298443740387,-0.041449650740548516,0.10352347018657115,0.13519510840256663,-0.24460615812184616,0.27516360236833903,0.010883876892804381,0.08050496072976081
S5_upthrust,5,418,102,0.47129186602870815,-0.01116532832279154,-0.0013314959106480728,-0.03844025134039092,0.029334855625292727,0.07769823329597665,-0.4341836038739597,0.20895080023710721,-0.01116532832279154,-0.1437011866184826
S5_upthrust,10,413,102,0.45036319612590797,-0.022887210864595494,-0.0062208398133747345,-0.06679546552262972,0.04768644074299211,0.1157047066566015,-0.9277042695403084,0.24510966212211027,-0.022887210864595494,-0.1978070860377543
S5_upthrust,20,354,85,0.3983050847457627,-0.05627644086095702,-0.023227380773517603,-0.11027060269748246,0.04202413675073291,0.18605774822048732,-1.3877068557919618,0.37190505422549636,-0.05627644086095702,-0.30246760158715214
