symbol,date,close,MA10,MA20,slope10>0,slope20>0,ret_4w_%,path_R2,new_entry?
SUNUSDT,2026-05-11,0.020512,0.018427,0.018343,✓,✓,14.1,0.077,NEW
PENGUUSDT,2026-05-11,0.009989,0.007952,0.008241,✓,✓,43.7,0.417,NEW
MORPHOUSDT,2026-05-11,2.0886,1.82887,1.599725,✓,✓,10.1,0.002,ongoing
CHZUSDT,2026-05-11,0.04369,0.040649,0.042005,✓,✓,8.1,0.01,ongoing
BANANAS31USDT,2026-05-11,0.014021,0.011388,0.00793,✓,✓,49.6,0.015,ongoing
TRXUSDT,2026-05-11,0.34935,0.325947,0.308368,✓,✓,6.3,0.024,ongoing
STGUSDT,2026-05-11,0.2374,0.21756,0.18279,✓,✓,21.1,0.034,ongoing
HYPEUSDT,2026-05-11,41.147,39.9867,34.13415,✓,✓,1.1,0.114,ongoing
ARCUSDT,2026-05-11,0.06347,0.06042,0.05786,✓,✓,-3.4,0.405,ongoing
TAOUSDT,2026-05-11,314.14,284.309,247.4945,✓,✓,31.1,0.411,ongoing
AEROUSDT,2026-05-11,0.4977,0.39356,0.3987,✓,✓,34.6,0.495,ongoing
