MA20w_대비_구간,최고가_표본수,최고가_비율,최저가_표본수,최저가_비율
-100% ~ -50%,0,0.0,43,0.05174488567990373
-50% ~ -40%,0,0.0,41,0.049338146811071
-40% ~ -30%,1,0.0012033694344163659,101,0.12154031287605295
-30% ~ -25%,1,0.0012033694344163659,95,0.11432009626955475
-25% ~ -20%,0,0.0,109,0.13116726835138387
-20% ~ -15%,2,0.0024067388688327317,143,0.17208182912154033
-15% ~ -10%,8,0.009626955475330927,113,0.13598074608904934
-10% ~ -5%,19,0.02286401925391095,89,0.10709987966305656
-5% ~ +0%,38,0.0457280385078219,60,0.07220216606498195
+0% ~ +5%,99,0.11913357400722022,17,0.02045728038507822
+5% ~ +10%,81,0.09747292418772563,8,0.009626955475330927
+10% ~ +15%,91,0.1095066185318893,4,0.0048134777376654635
+15% ~ +20%,81,0.09747292418772563,1,0.0012033694344163659
+20% ~ +25%,64,0.07701564380264742,3,0.0036101083032490976
+25% ~ +30%,41,0.049338146811071,1,0.0012033694344163659
+30% ~ +40%,73,0.08784596871239471,0,0.0
+40% ~ +50%,47,0.056558363417569195,2,0.0024067388688327317
+50% ~ +100%,118,0.14199759326113118,1,0.0012033694344163659
+100% ~ +500%,64,0.07701564380264742,0,0.0
