MA20w_위_pct,3일_표본,3일_비율,7일_표본,7일_비율,14일_표본,14일_비율,30일_표본,30일_비율
+5%,459,0.5523465703971119,564,0.6787003610108303,624,0.7509025270758123,663,0.7978339350180506
+10%,290,0.3489771359807461,425,0.5114320096269555,509,0.6125150421179302,582,0.7003610108303249
+15%,200,0.24067388688327315,299,0.35980746089049337,405,0.48736462093862815,491,0.5908543922984356
+20%,147,0.17689530685920576,229,0.27557160048134777,328,0.394705174488568,410,0.49338146811071
+25%,114,0.1371841155234657,169,0.20336943441636582,261,0.3140794223826715,346,0.41636582430806257
+30%,96,0.11552346570397112,138,0.16606498194945848,226,0.2719614921780987,305,0.36702767749699156
+40%,65,0.07821901323706378,93,0.11191335740072202,154,0.18531889290012032,232,0.27918170878459686
+50%,42,0.05054151624548736,68,0.08182912154031288,112,0.13477737665463296,185,0.2226233453670277
+75%,16,0.019253910950661854,31,0.03730445246690734,59,0.07099879663056559,112,0.13477737665463296
+100%,4,0.0048134777376654635,13,0.015643802647412757,24,0.02888086642599278,67,0.08062575210589651
