MA20w_대비_구간,최고가_표본수,최고가_비율,최저가_표본수,최저가_비율
-100% ~ -75%,0,0.0,0,0.0
-75% ~ -50%,0,0.0,9,0.11688311688311688
-50% ~ -40%,0,0.0,12,0.15584415584415584
-40% ~ -30%,0,0.0,18,0.23376623376623376
-30% ~ -25%,0,0.0,12,0.15584415584415584
-25% ~ -20%,0,0.0,4,0.05194805194805195
-20% ~ -15%,0,0.0,8,0.1038961038961039
-15% ~ -10%,0,0.0,2,0.025974025974025976
-10% ~ -5%,2,0.025974025974025976,8,0.1038961038961039
-5% ~ +0%,4,0.05194805194805195,3,0.03896103896103896
+0% ~ +5%,13,0.16883116883116883,1,0.012987012987012988
+5% ~ +10%,10,0.12987012987012986,0,0.0
+10% ~ +15%,7,0.09090909090909091,0,0.0
+15% ~ +20%,6,0.07792207792207792,0,0.0
+20% ~ +25%,3,0.03896103896103896,0,0.0
+25% ~ +30%,5,0.06493506493506493,0,0.0
+30% ~ +40%,5,0.06493506493506493,0,0.0
+40% ~ +50%,5,0.06493506493506493,0,0.0
+50% ~ +75%,9,0.11688311688311688,0,0.0
+75% ~ +100%,5,0.06493506493506493,0,0.0
+100% ~ +500%,3,0.03896103896103896,0,0.0
