보유_일,표본수,윈율,평균_숏수익,p10_숏수익,p25_숏수익,중위_p50_숏수익,p75_숏수익,p90_숏수익,표준편차,최대손실
1,706,0.5949008498583569,0.006640600203308154,-0.09754884374241957,-0.027473115166488093,0.01480913422159802,0.06419526835881267,0.1044377412045504,0.10288869513034535,-1.0
2,706,0.5637393767705382,0.007497304750855276,-0.11293754056419147,-0.03502142784550838,0.014045299869511974,0.07879363497610264,0.1310226957464785,0.11677390833170968,-0.6759762694600062
3,704,0.6079545454545454,0.013369504004836007,-0.11842086488986069,-0.045098520865309744,0.029155879027082277,0.09154544631079256,0.1477781883741503,0.13213192674248356,-0.721655437921078
4,704,0.6264204545454546,0.021334501238392846,-0.12778602780870563,-0.05008840475778337,0.047886466094212876,0.10980455368082287,0.16170881155143746,0.14119533464464543,-0.745240815427604
5,704,0.6008522727272727,0.014528658541103967,-0.16546533936165922,-0.05925853660924263,0.04199634295563376,0.11774665286646971,0.17418293134754625,0.15894973705728113,-1.0
6,704,0.5965909090909091,0.017311227133171014,-0.1595766578424521,-0.06502400410017573,0.04030732524782005,0.13066460595039045,0.19023217571933762,0.16395981041817467,-1.0
7,703,0.604551920341394,0.014973255192310655,-0.20458970283918382,-0.07185943932374006,0.04478735415882562,0.1275348897853516,0.20066264990730084,0.18066998877071636,-1.0
8,703,0.6031294452347084,0.01481901574940102,-0.20231992234456678,-0.08835983392951541,0.055293324342548744,0.13622017913663242,0.20623694015827512,0.18688589565278793,-1.0
9,703,0.620199146514936,0.016768100329563128,-0.20779546174110752,-0.0862596403070468,0.05586413159581294,0.14556545331834536,0.20934576347312564,0.1963225349318269,-1.0
10,703,0.604551920341394,0.01328010895534004,-0.2260823612668783,-0.09003374616715487,0.054407176287051495,0.14445054102501498,0.21667292001248803,0.20247484024123666,-1.0
11,703,0.5974395448079659,0.011446320604576872,-0.24393766045545284,-0.08274080740665335,0.0452910766464375,0.14683572940429268,0.224961020119455,0.20730802279322535,-1.0
12,701,0.6134094151212554,0.013598580729922,-0.27436823104693153,-0.08767627222562835,0.05301135270348267,0.16152540680842575,0.2401377582968065,0.22245675387503291,-1.0
13,701,0.6034236804564908,0.002865607641850042,-0.2997370727432078,-0.10466367713004487,0.054939759036144675,0.16583597643860437,0.2493261455525606,0.24428934414442555,-1.0
14,699,0.6037195994277539,0.005020630337903824,-0.2931350985553651,-0.1161898151878521,0.05848157191024295,0.16305967985296888,0.24961855589807508,0.24133907210018865,-1.0
15,694,0.6080691642651297,0.005527923457306109,-0.3235489826474887,-0.11326979604240422,0.07469056173628957,0.17330722775186158,0.25667239240019385,0.25281806917133615,-1.0
16,685,0.6087591240875913,-0.0022975853760300786,-0.36759944993952637,-0.12583732057416275,0.0764071856287426,0.17039295392953946,0.2589020855781257,0.26966965279665567,-1.0
17,682,0.6026392961876833,-0.0019821029780000077,-0.3740404880825401,-0.13393017455996903,0.0743660656360528,0.180096230788413,0.27346244470446684,0.27340014158501064,-1.0
18,674,0.6142433234421365,-0.0034900855620961,-0.41434290311618444,-0.12817328146310575,0.07681488190590319,0.1873703694458792,0.2748113345321743,0.28966369636818207,-1.0
19,671,0.6259314456035767,-0.0011816252799860105,-0.4276122534620228,-0.14239720806897305,0.08455687245710242,0.20127364410570725,0.28982223771348903,0.3034459604632306,-1.0
20,667,0.6281859070464768,-0.005044936095542046,-0.44541453859551444,-0.13880355912442732,0.08267052301759459,0.2018426957751533,0.2822180822836289,0.31117038185391555,-1.0
21,666,0.6261261261261262,-0.009330514752229676,-0.47331503957536625,-0.13297531446983202,0.0851142428879445,0.19887352043112774,0.2924837870669728,0.31846864259819435,-1.0
22,665,0.6285714285714286,-0.013925784120773343,-0.4864860354407906,-0.13225792463466468,0.07744874715261962,0.20000000000000007,0.2953877448511116,0.32963280682392376,-1.0
23,664,0.6280120481927711,-0.01830224554362887,-0.519796805777997,-0.14928553987361848,0.07214570338068554,0.20154772419554595,0.3060402438695316,0.3385807473302882,-1.0
24,663,0.6199095022624435,-0.016816007696749874,-0.5261014930660528,-0.13907105037624823,0.07271733187534168,0.20516691100571893,0.30481968380793145,0.3387697230089548,-1.0
25,662,0.6193353474320241,-0.014785891318312082,-0.5458057714612146,-0.13567592488434466,0.07168229262554698,0.21028739807707503,0.32769079209487884,0.34474787226354164,-1.0
26,661,0.6232980332829047,-0.016201566949568643,-0.5308434746118338,-0.1351351351351351,0.055975794251134636,0.19988344988344986,0.3176546391752577,0.3385662200781169,-1.0
27,661,0.5960665658093798,-0.024114470873709184,-0.5315160509255643,-0.12755853487315716,0.050979068197164135,0.19654354456116574,0.3131734525716525,0.3412918834079016,-1.0
28,660,0.5848484848484848,-0.007189614199428174,-0.47527827885080726,-0.12822043056309412,0.04745838164277383,0.19481906993537396,0.311279112797307,0.3116462311930325,-1.0
29,660,0.5969696969696969,-0.0021134530905149527,-0.4238433038820368,-0.12116619437059417,0.05868498139498063,0.1891984466766198,0.3188311162221613,0.3069011409790882,-1.0
30,654,0.599388379204893,-0.0055757625100311065,-0.46085632251563563,-0.12695318431154878,0.06095368738710316,0.18328265784469105,0.33078496786577005,0.3161895418192852,-1.0
