구분,표본수,진입율,윈율,평균_숏수익,중위_숏수익,최대손실,표준편차,Sharpe,squeeze_플20_pct_이상_손실_비율,MA
즉시 진입 (Limit @ MA),188,1.0,0.7712765957446809,0.090466516471841,0.11508465771913562,-0.6838720051455218,0.1888714541893497,0.47898459224624496,0.09042553191489362,주봉 MA20w
고점확인 K=3일 (Lower High close),125,0.6648936170212766,0.632,0.03878148618116603,0.07705192629815738,-0.5782639096993307,0.1631584973566857,0.23769210190986656,0.096,주봉 MA20w
고점확인 K=5일 (Lower High close),125,0.6648936170212766,0.632,0.03878148618116603,0.07705192629815738,-0.5782639096993307,0.1631584973566857,0.23769210190986656,0.096,주봉 MA20w
고점확인 K=7일 (Lower High close),125,0.6648936170212766,0.632,0.03878148618116603,0.07705192629815738,-0.5782639096993307,0.1631584973566857,0.23769210190986656,0.096,주봉 MA20w
즉시 진입 (Limit @ MA),187,1.0,0.732620320855615,0.06861067110749801,0.10807463787273708,-1.0,0.22204398218579507,0.3089958594333266,0.08021390374331551,일봉 MA100d
고점확인 K=3일 (Lower High close),116,0.6203208556149733,0.7241379310344828,0.051059241399710055,0.0843393558181611,-0.7849733669750489,0.16279300913840605,0.3136451722954495,0.08620689655172414,일봉 MA100d
고점확인 K=5일 (Lower High close),116,0.6203208556149733,0.7241379310344828,0.051059241399710055,0.0843393558181611,-0.7849733669750489,0.16279300913840605,0.3136451722954495,0.08620689655172414,일봉 MA100d
고점확인 K=7일 (Lower High close),116,0.6203208556149733,0.7241379310344828,0.051059241399710055,0.0843393558181611,-0.7849733669750489,0.16279300913840605,0.3136451722954495,0.08620689655172414,일봉 MA100d
즉시 진입 (Limit @ MA),156,1.0,0.6410256410256411,0.04594419670029289,0.0811214019653912,-1.0,0.23336402968005626,0.19687779973324385,0.10897435897435898,일봉 MA200d
고점확인 K=3일 (Lower High close),104,0.6666666666666666,0.5673076923076923,-0.027132812525590203,0.03064570619006113,-1.0,0.24297290960968249,-0.1116701140434833,0.125,일봉 MA200d
고점확인 K=5일 (Lower High close),104,0.6666666666666666,0.5673076923076923,-0.027132812525590203,0.03064570619006113,-1.0,0.24297290960968249,-0.1116701140434833,0.125,일봉 MA200d
고점확인 K=7일 (Lower High close),104,0.6666666666666666,0.5673076923076923,-0.027132812525590203,0.03064570619006113,-1.0,0.24297290960968249,-0.1116701140434833,0.125,일봉 MA200d
