MA20w_대비_위치_pct,7일내_도달_표본,7일내_도달_비율,14일내_도달_표본,14일내_도달_비율,30일내_도달_표본,30일내_도달_비율
+5%,53,0.6883116883116883,57,0.7402597402597403,58,0.7532467532467533
+10%,44,0.5714285714285714,48,0.6233766233766234,48,0.6233766233766234
+15%,35,0.45454545454545453,40,0.5194805194805194,41,0.5324675324675324
+20%,27,0.35064935064935066,32,0.4155844155844156,35,0.45454545454545453
+25%,22,0.2857142857142857,27,0.35064935064935066,32,0.4155844155844156
+30%,20,0.2597402597402597,25,0.3246753246753247,27,0.35064935064935066
+40%,17,0.22077922077922077,21,0.2727272727272727,22,0.2857142857142857
+50%,13,0.16883116883116883,16,0.2077922077922078,17,0.22077922077922077
+75%,6,0.07792207792207792,6,0.07792207792207792,8,0.1038961038961039
+100%,2,0.025974025974025976,2,0.025974025974025976,3,0.03896103896103896
+150%,0,0.0,0,0.0,0,0.0
+200%,0,0.0,0,0.0,0,0.0
