손절선_pct,보유기간_일,표본수,손절_히트율,윈율,평균_숏수익,p10,p25,중위_p50,p75,p90,최대손실,표준편차,Sharpe_like
+3%,7,77,0.8051948051948052,0.19480519480519481,0.01079758394958994,-0.03,-0.03,-0.03,-0.03,0.1653969733260752,-0.03,0.09331693161155503,0.11570873327186125
+3%,14,77,0.8701298701298701,0.12987012987012986,0.01127225832117677,-0.03,-0.03,-0.03,-0.03,0.17338272166379304,-0.03,0.11348780735888943,0.09932572126915641
+3%,30,77,0.8831168831168831,0.11688311688311688,0.025650804761566198,-0.03,-0.03,-0.03,-0.03,0.32173922977225405,-0.03,0.15818719721346242,0.16215474585438325
+5%,7,77,0.7142857142857143,0.2857142857142857,0.01547020934345958,-0.05,-0.05,-0.05,0.05370706130249425,0.19226841360224914,-0.05,0.11384285091731154,0.13589091645900708
+5%,14,77,0.7792207792207793,0.22077922077922077,0.017437221144169936,-0.05,-0.05,-0.05,-0.05,0.27247671691431335,-0.05,0.13660346143601365,0.1276484575197803
+5%,30,77,0.7922077922077922,0.2077922077922078,0.039765150359128705,-0.05,-0.05,-0.05,-0.05,0.3893753822357322,-0.05,0.18773030823112719,0.21182062040920532
+8%,7,77,0.5974025974025974,0.4025974025974026,0.018692485243286247,-0.08,-0.08,-0.08,0.14587818158794474,0.2055137638489097,-0.08,0.13163013323568987,0.14200764508698388
+8%,14,77,0.6493506493506493,0.35064935064935066,0.02996850128044348,-0.08,-0.08,-0.08,0.14309193631227546,0.2971665364627561,-0.08,0.16491398016134545,0.18172201805525195
+8%,30,77,0.6623376623376623,0.33766233766233766,0.06871030544884492,-0.08,-0.08,-0.08,0.29702457956015527,0.4277145747961108,-0.08,0.22292781926125285,0.30821772570395156
+10%,7,77,0.5194805194805194,0.4675324675324675,0.02318299302846404,-0.1,-0.1,-0.1,0.16155064484501092,0.21016056861463642,-0.1,0.14141138676967535,0.16394007270590932
+10%,14,77,0.5714285714285714,0.42857142857142855,0.03733557748916381,-0.1,-0.1,-0.1,0.19091847265221873,0.29758911488134654,-0.1,0.1763459151160388,0.21171784707684507
+10%,30,77,0.6103896103896104,0.38961038961038963,0.07379335432697329,-0.1,-0.1,-0.1,0.305715551617191,0.4277145747961108,-0.1,0.23410224549700429,0.31521848143877623
+15%,7,77,0.44155844155844154,0.5194805194805194,0.0119122766199641,-0.15,-0.15,0.036591851930645625,0.16191616766467065,0.21016056861463642,-0.15,0.16103645801323388,0.07397254489405844
+15%,14,77,0.5194805194805194,0.4805194805194805,0.02324004650007765,-0.15,-0.15,-0.15,0.1994110222970129,0.29758911488134654,-0.15,0.1976607848616558,0.11757540331706931
+15%,30,77,0.5194805194805194,0.4805194805194805,0.07520141294258291,-0.15,-0.15,-0.15,0.3274690609075468,0.43557814659914257,-0.15,0.2569363739369007,0.2926849623909269
+20%,7,77,0.36363636363636365,0.5584415584415584,0.0075456033595230065,-0.2,-0.2,0.04036697247706422,0.1706181818181819,0.21016056861463642,-0.2,0.17854906658632277,0.04226067099530284
+20%,14,77,0.42857142857142855,0.5454545454545454,0.021756480232489602,-0.2,-0.2,0.04815481548154821,0.20186847407950181,0.29758911488134654,-0.2,0.2157427875423846,0.10084453102848384
+20%,30,77,0.4675324675324675,0.5194805194805194,0.07063919902929158,-0.2,-0.2,0.06938978122894734,0.3588112050904013,0.43557814659914257,-0.2,0.27855129726721795,0.25359493824768103
무손절,7,77,0.0,0.7142857142857143,0.05570976824611603,-0.16411131387877326,-0.02113970588235281,0.09736215424070349,0.18997995991983962,0.22558259724844057,-0.528751047778709,0.18443795078888278,0.30205154637553044
무손절,14,77,0.0,0.7272727272727273,0.08904468697340982,-0.21667418225169008,-0.005275916155710769,0.12549069266810176,0.2493261455525606,0.33036238480826674,-0.5203813280736358,0.21894763251289373,0.40669399322308736
무손절,30,77,0.0,0.7662337662337663,0.17343306392510074,-0.14466606178614977,0.01851851851851849,0.20455808782657026,0.3640617688348151,0.4488644360972528,-0.6145560407569142,0.2533908563306769,0.6844487857082315
