손절선_pct,보유기간_일,표본수,손절_히트율,윈율,평균_숏수익,p10,p25,중위_p50,p75,p90,최대손실,표준편차,Sharpe_like
+3%,7,654,0.8073394495412844,0.18960244648318042,0.0024274175438881392,-0.03,-0.03,-0.03,-0.03,0.1256984614045548,-0.03,0.07215104529196666,0.03364355338256492
+3%,14,654,0.8440366972477065,0.154434250764526,0.0032762332950580075,-0.03,-0.03,-0.03,-0.03,0.14095475670825797,-0.03,0.0857068647395491,0.03822603131049084
+3%,30,654,0.8761467889908257,0.12385321100917432,0.003964845700563271,-0.03,-0.03,-0.03,-0.03,0.13781591133974366,-0.03,0.1011616851296823,0.03919315594121048
+5%,7,654,0.7064220183486238,0.28287461773700306,0.003472456060671996,-0.05,-0.05,-0.05,0.0565724617236637,0.1596904291126441,-0.05,0.09105901592693387,0.03813412681132321
+5%,14,654,0.7629969418960245,0.23394495412844038,0.004195813729273033,-0.05,-0.05,-0.05,-0.05,0.18266770020621634,-0.05,0.10696983089266077,0.039224271874219716
+5%,30,654,0.8042813455657493,0.19571865443425077,0.006427039553214582,-0.05,-0.05,-0.05,-0.05,0.21173951430498794,-0.05,0.13002659108341486,0.04942865532090661
+8%,7,654,0.5672782874617737,0.38837920489296635,0.002381477852268708,-0.08,-0.08,-0.08,0.0987346506264414,0.17105494149414946,-0.08,0.10783031465851978,0.022085420596336405
+8%,14,654,0.654434250764526,0.3318042813455658,0.005652124698180002,-0.08,-0.08,-0.08,0.11437230856353003,0.20527599821215745,-0.08,0.1316547917154076,0.04293140131502356
+8%,30,654,0.7110091743119266,0.28134556574923547,0.009289781978954461,-0.08,-0.08,-0.08,0.09082375065070539,0.2502806284148712,-0.08,0.15831860966101519,0.05867776377549886
+10%,7,654,0.4984709480122324,0.43883792048929665,0.001176124486396606,-0.1,-0.1,-0.07421387854955153,0.1073173306237831,0.17239572891439794,-0.1,0.11649694646910688,0.010095753769035442
+10%,14,654,0.6055045871559633,0.3730886850152905,0.0031086588430996732,-0.1,-0.1,-0.1,0.12582786633495574,0.21933434467754417,-0.1,0.1434581439618981,0.02166944836485073
+10%,30,654,0.6773700305810397,0.31345565749235477,0.004395361035422798,-0.1,-0.1,-0.1,0.125248399265343,0.2599098410006546,-0.1,0.17025489524679802,0.025816356287737704
+15%,7,654,0.3486238532110092,0.4938837920489297,-0.0007515938717193971,-0.15,-0.15,-0.002788024288251534,0.11324584370281596,0.17616018365389702,-0.15,0.13411433414952292,-0.0056041278248561525
+15%,14,654,0.4908256880733945,0.4602446483180428,-0.0012538009856441778,-0.15,-0.15,-0.09136211690605034,0.14365456875778052,0.23395222445163777,-0.15,0.16618669240324432,-0.0075445330038935235
+15%,30,654,0.5657492354740061,0.40672782874617736,0.0010278221190592322,-0.15,-0.15,-0.15,0.15373359921603705,0.29472904892828466,-0.15,0.19654116097984395,0.00522955147886116
+20%,7,654,0.2308868501529052,0.5275229357798165,0.0017229544273376057,-0.2,-0.12144501975337768,0.014755953899756591,0.11783717945529668,0.17737572853952732,-0.2,0.14363843915010344,0.011995079015980556
+20%,14,654,0.37767584097859325,0.5152905198776758,-0.0018328089049577223,-0.2,-0.2,0.010266053389207719,0.14665857650676345,0.24111333313254216,-0.2,0.18186974009733492,-0.010077591269316274
+20%,30,654,0.4694189602446483,0.4709480122324159,-0.0012211124441978303,-0.2,-0.2,-0.036551896519500304,0.16403513985831952,0.29846095302278564,-0.2,0.21636122388273063,-0.005643859940724324
무손절,7,654,0.0,0.5795107033639144,0.012005421729822602,-0.17152249814263767,-0.07153246094629212,0.03496515795844107,0.12456010525146338,0.18590823381521054,-1.0,0.1663578352900296,0.07216625359961105
무손절,14,654,0.0,0.5856269113149847,-0.005039397317192497,-0.31961706455118294,-0.10899792315680162,0.0485809082408456,0.15567353500666126,0.24915516755843423,-1.0,0.2484777693071343,-0.020281079193702364
무손절,30,654,0.0,0.5932721712538226,-0.0030346710804169483,-0.43244843373964026,-0.12279708847678794,0.05834879891513056,0.19069150714911834,0.32074590320958507,-1.0,0.30812171279047906,-0.00984893616530201
