asset,symbol,n_entries_3y,first_entry,last_entry,weekly_bars
crypto,0GUSDT,0,,,35
crypto,1000000MOGUSDT,0,,,92
crypto,1000BONKUSDT,0,,,115
crypto,1000CATUSDT,0,,,87
crypto,1000RATSUSDT,0,,,127
crypto,1000SATSUSDT,1,2026-05-04,2026-05-04,127
crypto,1000XECUSDT,2,2025-07-21,2025-08-04,150
crypto,1INCHUSDT,1,2025-07-07,2025-07-07,202
crypto,1MBABYDOGEUSDT,0,,,87
crypto,1MCHEEMSUSDT,0,,,78
crypto,2ZUSDT,0,,,33
crypto,4USDT,0,,,32
crypto,AAOIUSDT,0,,,4
crypto,AAPLUSDT,0,,,38
crypto,AAVEUSDT,1,2023-10-16,2023-10-16,270
crypto,ACEUSDT,0,,,126
crypto,ACHUSDT,1,2026-05-04,2026-05-04,168
crypto,ACTUSDT,0,,,79
crypto,ACUUSDT,0,,,17
crypto,ACXUSDT,0,,,76
crypto,ADAUSDT,1,2023-10-23,2023-10-23,300
crypto,AEROUSDT,0,,,80
crypto,AEVOUSDT,0,,,113
crypto,AGLDUSDT,1,2026-05-04,2026-05-04,148
crypto,AIGENSYNUSDT,0,,,3
crypto,AINUSDT,0,,,45
crypto,AIOUSDT,0,,,40
crypto,AIXBTUSDT,0,,,74
crypto,AKTUSDT,0,,,90
crypto,ALCHUSDT,0,,,71
crypto,ALGOUSDT,1,2026-05-04,2026-05-04,220
crypto,ALICEUSDT,0,,,95
crypto,ALLOUSDT,0,,,27
crypto,ALTUSDT,0,,,120
crypto,AMATUSDT,0,,,5
crypto,AMDUSDT,0,,,5
crypto,AMZNUSDT,0,,,38
crypto,ANIMEUSDT,0,,,69
crypto,ANKRUSDT,0,,,169
crypto,APEUSDT,3,2024-02-26,2024-11-04,215
crypto,API3USDT,1,2025-08-18,2025-08-18,196
crypto,APLDUSDT,0,,,3
crypto,APPUSDT,0,,,36
crypto,APRUSDT,0,,,30
crypto,APTUSDT,2,2024-09-30,2025-09-29,187
crypto,ARBUSDT,2,2025-07-21,2025-08-04,165
crypto,ARCUSDT,0,,,70
crypto,ARIAUSDT,0,,,37
