asset,symbol,interval,entry_dt,entry_close,score,+5d,+10d,+20d,+40d
crypto,0GUSDT,1d,2025-11-03,1.2159,80.0,18.02,7.25,6.8,-25.52
crypto,0GUSDT,1d,2025-11-08,1.435,75.0,-9.12,-13.3,-14.23,-50.16
crypto,0GUSDT,1d,2025-12-25,1.0298,100.0,-1.84,-3.88,-14.02,-42.18
crypto,0GUSDT,1d,2026-01-22,0.8196,90.0,3.06,-21.41,-31.43,-25.05
crypto,0GUSDT,1d,2026-01-30,0.8409,85.0,-27.27,-35.35,-26.85,-30.98
crypto,0GUSDT,1d,2026-02-12,0.6429,85.0,5.79,-0.14,-4.43,-18.63
crypto,0GUSDT,1d,2026-04-12,0.6134,85.0,0.7,-5.28,-11.85,
crypto,1000000MOGUSDT,1d,2024-09-10,1.015,65.0,-8.63,17.93,45.3,124.43
crypto,1000000MOGUSDT,1d,2024-10-04,1.514,65.0,-6.13,38.47,28.13,59.48
crypto,1000000MOGUSDT,1d,2024-10-11,1.6688,65.0,22.43,26.07,19.51,24.12
crypto,1000000MOGUSDT,1d,2024-11-06,2.2555,60.0,-14.36,17.53,4.53,32.72
crypto,1000000MOGUSDT,1d,2024-11-13,2.4145,95.0,-0.92,9.73,2.39,-3.79
crypto,1000000MOGUSDT,1d,2024-11-15,2.7973,75.0,-25.95,-11.31,2.23,-11.3
crypto,1000000MOGUSDT,1d,2024-11-21,2.5709,60.0,-8.29,-6.27,28.4,-21.53
crypto,1000000MOGUSDT,1d,2024-12-03,2.4722,65.0,53.64,25.6,-6.04,-25.9
crypto,1000000MOGUSDT,1d,2024-12-05,2.8596,75.0,17.04,7.39,-13.23,-32.98
crypto,1000000MOGUSDT,1d,2025-01-03,2.5666,85.0,-14.96,-30.15,-38.26,-65.29
crypto,1000000MOGUSDT,1d,2025-01-05,2.8913,60.0,-32.58,-29.8,-51.0,-70.2
crypto,1000000MOGUSDT,1d,2025-01-31,1.2575,65.0,-31.29,-31.86,-37.3,-64.88
crypto,1000000MOGUSDT,1d,2025-02-03,1.0311,65.0,-15.55,-20.53,-22.1,-55.11
crypto,1000000MOGUSDT,1d,2025-03-24,0.5552,65.0,-25.95,-30.66,-14.5,1.77
crypto,1000000MOGUSDT,1d,2025-04-07,0.3418,85.0,46.26,30.08,76.51,187.07
crypto,1000000MOGUSDT,1d,2025-04-09,0.4099,75.0,15.47,13.17,45.62,160.92
crypto,1000000MOGUSDT,1d,2025-05-06,0.658,70.0,75.06,51.58,76.53,36.87
crypto,1000000MOGUSDT,1d,2025-06-09,1.0942,65.0,-18.86,-20.73,-3.45,45.91
crypto,1000000MOGUSDT,1d,2025-06-23,0.92,85.0,-0.08,14.15,107.08,26.64
crypto,1000000MOGUSDT,1d,2025-06-29,1.0565,60.0,-9.02,13.37,51.12,28.78
crypto,1000000MOGUSDT,1d,2025-07-02,1.0347,75.0,-6.69,67.75,56.78,29.92
crypto,1000000MOGUSDT,1d,2025-07-08,1.0625,60.0,79.3,43.61,39.0,9.83
crypto,1000000MOGUSDT,1d,2025-08-22,1.1807,60.0,-18.1,-31.09,-19.09,-38.31
crypto,1000000MOGUSDT,1d,2025-09-17,1.0189,75.0,-27.79,-36.77,-22.99,-55.34
crypto,1000000MOGUSDT,1d,2025-10-02,0.8464,75.0,-7.29,-38.16,-48.95,-58.26
crypto,1000000MOGUSDT,1d,2025-10-12,0.5234,75.0,-17.04,-17.44,4.2,-47.48
crypto,1000000MOGUSDT,1d,2025-11-01,0.5454,100.0,-33.48,-35.22,-49.6,-48.9
crypto,1000000MOGUSDT,1d,2025-11-05,0.3819,85.0,-0.26,-2.46,-30.01,-36.27
crypto,1000000MOGUSDT,1d,2025-11-07,0.3916,60.0,-1.99,-14.2,-21.91,-42.9
crypto,1000000MOGUSDT,1d,2025-11-12,0.3838,60.0,-12.45,-30.2,-20.3,-44.37
crypto,1000000MOGUSDT,1d,2026-01-02,0.2775,75.0,18.88,12.47,-9.73,-41.73
crypto,1000000MOGUSDT,1d,2026-02-06,0.178,65.0,-9.16,1.07,-7.19,-9.61
crypto,1000000MOGUSDT,1d,2026-04-16,0.1477,60.0,3.93,6.57,6.09,
crypto,1000000MOGUSDT,1d,2026-04-20,0.1595,85.0,-4.64,-7.65,6.46,
crypto,1000000MOGUSDT,1d,2026-04-22,0.1648,70.0,-6.61,-5.64,0.67,
crypto,1000BONKUSDT,1d,2024-04-20,0.019523,75.0,37.34,16.05,17.18,73.3
crypto,1000BONKUSDT,1d,2024-04-23,0.024681,75.0,1.57,10.08,-5.55,28.45
crypto,1000BONKUSDT,1d,2024-04-25,0.026812,70.0,-15.5,-1.75,-7.4,23.69
crypto,1000BONKUSDT,1d,2024-05-18,0.026254,60.0,34.19,56.75,9.69,-6.22
crypto,1000BONKUSDT,1d,2024-05-20,0.030476,75.0,14.8,11.02,-6.27,-26.77
crypto,1000BONKUSDT,1d,2024-05-23,0.03523,70.0,16.81,-10.01,-17.83,-27.98
crypto,1000BONKUSDT,1d,2024-05-27,0.039188,60.0,-15.4,-18.81,-35.62,-40.97
crypto,1000BONKUSDT,1d,2024-07-01,0.025565,85.0,-9.51,-8.1,26.89,-20.12
crypto,1000BONKUSDT,1d,2024-07-05,0.021797,60.0,21.26,22.36,23.84,-11.88
crypto,1000BONKUSDT,1d,2024-07-08,0.02395,75.0,-5.25,11.97,16.72,-25.06
crypto,1000BONKUSDT,1d,2024-07-19,0.031486,60.0,-12.8,-14.46,-31.02,-42.58
crypto,1000BONKUSDT,1d,2024-09-26,0.020941,85.0,13.95,4.66,16.35,-8.4
crypto,1000BONKUSDT,1d,2024-09-30,0.023803,60.0,-13.52,-14.86,1.76,-5.9
crypto,1000BONKUSDT,1d,2024-11-06,0.022624,85.0,18.26,109.67,88.09,63.17
crypto,1000BONKUSDT,1d,2024-11-10,0.025457,85.0,78.18,94.15,76.41,31.68
crypto,1000BONKUSDT,1d,2024-11-15,0.04536,60.0,8.96,-4.27,-5.88,-27.59
crypto,1000BONKUSDT,1d,2024-11-17,0.05126,60.0,-3.27,-14.42,-9.23,-37.49
crypto,1000BONKUSDT,1d,2024-12-20,0.033522,65.0,-2.02,-7.5,-18.94,-27.27
crypto,1000BONKUSDT,1d,2025-01-03,0.036098,60.0,-20.22,-27.43,-13.47,-49.57
crypto,1000BONKUSDT,1d,2025-01-17,0.03328,75.0,-3.67,-21.46,-49.68,-59.7
crypto,1000BONKUSDT,1d,2025-01-21,0.032336,60.0,-15.84,-23.24,-45.87,-51.8
crypto,1000BONKUSDT,1d,2025-03-02,0.015585,65.0,-23.03,-31.52,-22.34,-19.76
crypto,1000BONKUSDT,1d,2025-03-23,0.013897,65.0,-11.88,-20.68,-0.09,34.94
crypto,1000BONKUSDT,1d,2025-04-01,0.012496,65.0,-21.52,0.08,-1.39,77.99
crypto,1000BONKUSDT,1d,2025-04-11,0.012506,75.0,-6.21,-1.47,50.15,64.58
crypto,1000BONKUSDT,1d,2025-04-22,0.015245,95.0,22.3,23.01,49.28,10.64
crypto,1000BONKUSDT,1d,2025-04-25,0.019808,75.0,-1.53,-14.36,5.34,-20.73
crypto,1000BONKUSDT,1d,2025-04-28,0.020793,75.0,-19.81,-4.28,-0.79,-25.32
crypto,1000BONKUSDT,1d,2025-05-10,0.023815,70.0,-12.38,-15.93,-32.08,-40.16
crypto,1000BONKUSDT,1d,2025-06-23,0.013962,75.0,5.66,19.31,88.67,78.0
crypto,1000BONKUSDT,1d,2025-06-28,0.014752,75.0,12.92,49.33,120.42,76.4
crypto,1000BONKUSDT,1d,2025-07-02,0.015723,85.0,44.79,60.0,135.78,58.43
crypto,1000BONKUSDT,1d,2025-07-05,0.018933,90.0,25.63,56.87,86.71,25.72
crypto,1000BONKUSDT,1d,2025-07-10,0.023785,85.0,24.87,38.0,19.54,-9.8
