symbol,pass_gate,bar_dt,close,ma20w,slope_4w,n_weeks,reason
0GUSDT,False,2026-05-18,0.47,0.605845,-0.11381471648711705,36,below MA20 + slope<0
1000000MOGUSDT,False,2026-05-18,0.134,0.172315,-0.1119614512471655,93,below MA20 + slope<0
10000NEXUSDT,False,,,,,1,insufficient (<24w)
1000BONKUSDT,False,2026-05-18,0.006013,0.006632399999999999,-0.07680101334187084,116,below MA20 + slope<0
1000CATUSDT,False,2026-05-18,0.001786,0.0019507,-0.08984019596407311,88,below MA20 + slope<0
1000RATSUSDT,False,2026-05-18,0.03271,0.043259000000000006,-0.026443714272853858,128,below MA20 + slope<0
1000SATSUSDT,False,2026-05-18,1.251e-05,1.2767e-05,-0.03173941071631725,128,below MA20 + slope<0
1000XECUSDT,False,2026-05-18,0.00704,0.0078655,-0.08027362020579976,151,below MA20 + slope<0
1INCHUSDT,False,2026-05-18,0.0904,0.102105,-0.10638018554174689,203,below MA20 + slope<0
1MBABYDOGEUSDT,False,2026-05-18,0.0003907,0.00043868,-0.0918914443041382,88,below MA20 + slope<0
1MCHEEMSUSDT,False,2026-05-18,0.698,0.578805,-0.11530172413793094,79,slope<0
2ZUSDT,False,2026-05-18,0.10429,0.089484,-0.04507109889816718,34,slope<0
4USDT,False,2026-05-18,0.0092,0.0123355,-0.1657875160614053,33,below MA20 + slope<0
AAOIUSDT,False,,,,,5,insufficient (<24w)
AAVEUSDT,False,2026-05-18,85.57,112.05850000000001,-0.11873903914059003,271,below MA20 + slope<0
ACEUSDT,False,2026-05-18,0.1147,0.15636,-0.1502866614134717,127,below MA20 + slope<0
ACHRUSDT,False,,,,,0,insufficient (<24w)
ACHUSDT,False,2026-05-18,0.006496,0.0075699,-0.022709081050375612,169,below MA20 + slope<0
ACTUSDT,False,2026-05-18,0.01245,0.015177000000000001,-0.18205335489086483,80,below MA20 + slope<0
ACUUSDT,False,,,,,18,insufficient (<24w)
ACXUSDT,False,2026-05-18,0.04151,0.0416825,-0.03882073513812678,77,below MA20 + slope<0
ADAUSDT,False,2026-05-18,0.2421,0.27512499999999995,-0.08410732714138314,301,below MA20 + slope<0
AEROUSDT,False,2026-05-18,0.437,0.38810500000000003,-0.03492477931120208,81,slope<0
AEVOUSDT,False,2026-05-18,0.02432,0.027517000000000003,-0.07803390739127514,114,below MA20 + slope<0
AGLDUSDT,False,2026-05-18,0.2335,0.257295,-0.017470500630083596,149,below MA20 + slope<0
AIGENSYNUSDT,False,,,,,4,insufficient (<24w)
AINUSDT,True,2026-05-18,0.08051,0.05851949999999999,0.12516944019842513,46,pass
AIOUSDT,False,2026-05-18,0.08773,0.10191599999999998,-0.006511736723075701,41,below MA20 + slope<0
AIXBTUSDT,False,2026-05-18,0.02834,0.026241000000000004,-0.013180903672225908,75,slope<0
AKTUSDT,True,2026-05-18,0.8415,0.48230500000000004,0.16304950686054642,91,pass
ALCHUSDT,False,2026-05-18,0.0729,0.0864335,-0.1362091882114267,72,below MA20 + slope<0
ALGOUSDT,False,2026-05-18,0.1116,0.104015,-0.011640060813378983,221,slope<0
ALICEUSDT,False,2026-05-18,0.1252,0.131985,-0.06582439749442637,96,below MA20 + slope<0
ALLOUSDT,False,2026-05-18,0.0882,0.10081999999999999,-0.03669023504681834,28,below MA20 + slope<0
ALTUSDT,False,2026-05-18,0.007541,0.00813605,-0.10606609972092185,121,below MA20 + slope<0
AMATUSDT,False,,,,,6,insufficient (<24w)
ANIMEUSDT,False,2026-05-18,0.004303,0.00515865,-0.0853295271192751,70,below MA20 + slope<0
ANKRUSDT,False,2026-05-18,0.004577,0.0050469,-0.07024427987178061,170,below MA20 + slope<0
APEUSDT,False,2026-05-18,0.1344,0.129135,-0.08754636989931097,216,slope<0
API3USDT,False,2026-05-18,0.3214,0.3275,-0.057730208737933886,197,below MA20 + slope<0
APLDUSDT,False,,,,,4,insufficient (<24w)
APRUSDT,True,2026-05-18,0.16172,0.1351195,0.04600277139119191,31,pass
APTUSDT,False,2026-05-18,0.9446,1.06258,-0.11797127915663652,188,below MA20 + slope<0
