ma_period_weekly,confirm_offset,vol_sma_period,rsi_period,feature,quantile,horizon_h,n,mean,median,std,win,var_adj
20,1,20,14,body_ret,"(-0.00231, 0.00271]",1,584,-0.00045231742556683463,0.0,0.012106302272871903,0.4726027397260274,-0.020427716175805476
20,1,20,14,body_ret,"(-0.00231, 0.00271]",6,584,-0.0004794330493722962,9.999999999998899e-05,0.026416274434518956,0.5068493150684932,-0.044066285866328575
20,1,20,14,body_ret,"(-0.00231, 0.00271]",24,582,-0.0036567169952277934,-0.000200100058037056,0.050306211062431425,0.4484536082474227,-0.08666196524823964
20,1,20,14,body_ret,"(-0.00231, 0.00271]",72,578,0.0010678566851143967,0.0,0.0827864894122473,0.49480968858131485,-0.13552985084509364
20,1,20,14,body_ret,"(-0.00231, 0.00271]",168,575,-0.0006286824785394436,-0.0003996403237086499,0.14033849106413243,0.4591304347826087,-0.23218719273435795
20,1,20,14,body_ret,"(-0.00231, 0.00271]",336,572,0.0031287690064200234,-0.000639540541487793,0.3282585261054417,0.45454545454545453,-0.5384977990675588
20,1,20,14,body_ret,"(-0.00231, 0.00271]",672,569,0.0086699957169006,-0.027912254160363137,0.44251416260635645,0.3532513181019332,-0.7214783725835875
20,1,20,14,body_ret,"(-0.0109, -0.00231]",1,584,0.0003111344004394067,-0.0006453569197707454,0.01747180906673271,0.4623287671232877,-0.028517350559669565
20,1,20,14,body_ret,"(-0.0109, -0.00231]",6,584,-0.000137132961021916,0.0,0.03377384625498196,0.4948630136986301,-0.055863979281742145
20,1,20,14,body_ret,"(-0.0109, -0.00231]",24,584,-0.0054817418285554595,-0.0028727889301098375,0.060146058591337724,0.4657534246575342,-0.1047227385042627
20,1,20,14,body_ret,"(-0.0109, -0.00231]",72,583,-0.004408616576074919,-0.005918882204541065,0.09167049523798582,0.4614065180102916,-0.1556649337187515
20,1,20,14,body_ret,"(-0.0109, -0.00231]",168,582,-0.010383114044370938,-0.021698028752096088,0.14371292728438217,0.39690721649484534,-0.24750944406360154
20,1,20,14,body_ret,"(-0.0109, -0.00231]",336,581,-0.024361435445011514,-0.04421629021218343,0.20662239943899105,0.3717728055077453,-0.36528839451934675
20,1,20,14,body_ret,"(-0.0109, -0.00231]",672,579,-0.07305418107767332,-0.10713183081197908,0.28715929620542235,0.2918825561312608,-0.5468670198166202
20,1,20,14,body_ret,"(-0.331, -0.0109]",1,585,0.0020323859856808753,0.0005665722379604166,0.0291721475401275,0.5162393162393163,-0.0461016574555295
20,1,20,14,body_ret,"(-0.331, -0.0109]",6,585,0.01300203825940124,0.007842624665054476,0.05744483839045633,0.5982905982905983,-0.0817819450848517
20,1,20,14,body_ret,"(-0.331, -0.0109]",24,584,0.018493462170620097,0.005621179482555472,0.10705752947590301,0.5325342465753424,-0.15815146146461986
20,1,20,14,body_ret,"(-0.331, -0.0109]",72,583,0.02699706230791109,0.009239051360395711,0.1632315541548277,0.5317324185248714,-0.2423350020475546
20,1,20,14,body_ret,"(-0.331, -0.0109]",168,582,0.012429617497030313,-0.010350414271282582,0.2013634092051493,0.4742268041237113,-0.319820007691466
20,1,20,14,body_ret,"(-0.331, -0.0109]",336,582,0.021909904455915303,-0.005797131626513741,0.37108862750699545,0.48625429553264604,-0.5903863309306271
20,1,20,14,body_ret,"(-0.331, -0.0109]",672,578,0.0047407255752528665,-0.08345072660783953,0.7955623620645461,0.3391003460207612,-1.307937171831248
20,1,20,14,body_ret,"(0.00271, 0.0103]",1,584,0.0011768455665902313,-0.0003118181712111756,0.014229842543697009,0.4726027397260274,-0.02230239463050983
20,1,20,14,body_ret,"(0.00271, 0.0103]",6,584,0.0005104837827641628,0.0009142186479628167,0.02904105319393011,0.5102739726027398,-0.04740725398722051
20,1,20,14,body_ret,"(0.00271, 0.0103]",24,583,-0.0012895892058088863,-0.0009471490812653638,0.05582098945717662,0.483704974271012,-0.09339422181015031
20,1,20,14,body_ret,"(0.00271, 0.0103]",72,579,0.0006057778057672855,-0.006804704967434572,0.0901359852843475,0.4525043177892919,-0.1481185979134061
20,1,20,14,body_ret,"(0.00271, 0.0103]",168,577,-0.01010626237437248,-0.02237648019599847,0.1442233709720307,0.4194107452339688,-0.24807482447822313
20,1,20,14,body_ret,"(0.00271, 0.0103]",336,575,-0.0230245464346141,-0.037976798686623514,0.20517899513390073,0.3982608695652174,-0.36156988840555027
20,1,20,14,body_ret,"(0.00271, 0.0103]",672,569,-0.04060282596786439,-0.08937961879138345,0.36142589270141834,0.3304042179261863,-0.6369555489252046
20,1,20,14,body_ret,"(0.0103, 1.307]",1,584,0.0055899814426068365,0.0028716307584593093,0.028010995671701754,0.5753424657534246,-0.04062816141570106
20,1,20,14,body_ret,"(0.0103, 1.307]",6,583,0.007446698554912814,0.0026064291920069316,0.07348441538150904,0.5368782161234992,-0.1138025868245771
20,1,20,14,body_ret,"(0.0103, 1.307]",24,583,-0.004068168860038145,-0.004221822737920267,0.09297902184131031,0.45797598627787306,-0.15748355489820012
20,1,20,14,body_ret,"(0.0103, 1.307]",72,583,0.01605247449371482,-0.0024519049415314687,0.2269554962182132,0.4888507718696398,-0.3584240942663369
20,1,20,14,body_ret,"(0.0103, 1.307]",168,582,0.001188600534761117,-0.013093822916686149,0.18312510919775657,0.44329896907216493,-0.30096782964153723
20,1,20,14,body_ret,"(0.0103, 1.307]",336,581,-0.020691797947785168,-0.050135501355013656,0.2690834797545351,0.35972461273666095,-0.4646795395427681
20,1,20,14,body_ret,"(0.0103, 1.307]",672,568,-0.05781875576467094,-0.10669005713491392,0.37094587645362315,0.31866197183098594,-0.669879451913149
20,1,20,14,color,green,1,1445,0.0025727940132507336,0.00025443134594183014,0.02090896752042827,0.5079584775086505,-0.031927002395455914
20,1,20,14,color,green,6,1444,0.003296620473015968,0.0012564892007632666,0.05153326161007632,0.5228531855955678,-0.08173326118360995
20,1,20,14,color,green,24,1442,-0.0019274080803776052,-0.0017107685064284839,0.07232080780406479,0.4694868238557559,-0.1212567409570845
20,1,20,14,color,green,72,1436,0.008949965465952888,-0.0017663995443754632,0.160360335121516,0.48119777158774374,-0.2556445874845485
20,1,20,14,color,green,168,1431,-0.0007914580362079186,-0.01429980276134113,0.16597075994499216,0.44095038434661077,-0.27464321194544494
20,1,20,14,color,green,336,1426,-0.012077572864776023,-0.03366589655848823,0.29041817892033445,0.3976157082748948,-0.49126756808332783
20,1,20,14,color,green,672,1406,-0.030881013830971072,-0.08614497819246653,0.4188354809338646,0.3264580369843528,-0.7219595573718476
20,1,20,14,color,red,1,1476,0.0009082889831793171,0.0,0.022024046725435977,0.491869918699187,-0.03543138811379004
20,1,20,14,color,red,6,1476,0.0048274699561604946,0.001677065022372748,0.044208649516242274,0.5359078590785907,-0.06811680174563925
20,1,20,14,color,red,24,1474,0.0034778730583845726,-0.0001999900009999056,0.08149113930914449,0.48575305291723203,-0.13098250680170384
20,1,20,14,color,red,72,1470,0.007240457548247117,-0.00038948841483732455,0.12381544582124464,0.49047619047619045,-0.19705502805680652
20,1,20,14,color,red,168,1467,-0.002165916049543859,-0.013601910497352376,0.1633985080684091,0.43626448534423995,-0.2717734543624189
20,1,20,14,color,red,336,1465,-0.005222664594493113,-0.023840075639900093,0.2780736916446972,0.4300341296928328,-0.46404425580824343
20,1,20,14,color,red,672,1457,-0.03236126266455927,-0.07584211613969827,0.5453002431074249,0.3266986959505834,-0.9321066637918103
20,1,20,14,vol_ratio,"(-0.001, 0.597]",1,583,0.0013441196194322361,0.0,0.01938708361722257,0.47684391080617494,-0.030644568348985008
20,1,20,14,vol_ratio,"(-0.001, 0.597]",6,583,0.00278739853152609,0.00015893197711380758,0.03891984531374991,0.5060034305317325,-0.06143034623616126
20,1,20,14,vol_ratio,"(-0.001, 0.597]",24,582,-0.0007636126165298186,-0.00039998002599617166,0.0652154475714788,0.45532646048109965,-0.10836910110946985
20,1,20,14,vol_ratio,"(-0.001, 0.597]",72,580,0.00802165423541106,-0.00020008010409927612,0.11370362514232682,0.49137931034482757,-0.17958932724942817
20,1,20,14,vol_ratio,"(-0.001, 0.597]",168,577,0.002895328543323882,-0.010904071773636947,0.19197048870140399,0.43154246100519933,-0.3138559778139927
20,1,20,14,vol_ratio,"(-0.001, 0.597]",336,577,0.008732276506229797,-0.03221476510067123,0.44609959509682107,0.3951473136915078,-0.727332055403525
20,1,20,14,vol_ratio,"(-0.001, 0.597]",672,568,-0.006572780946436233,-0.07773145255377173,0.7776383291520982,0.323943661971831,-1.2896760240473981
20,1,20,14,vol_ratio,"(0.597, 0.941]",1,582,0.0009899856929874366,0.0,0.019509547915740767,0.49140893470790376,-0.031200768367984827
20,1,20,14,vol_ratio,"(0.597, 0.941]",6,581,0.000769814354280705,0.0005045408678103769,0.043781139499741904,0.5232358003442341,-0.07146906582029343
20,1,20,14,vol_ratio,"(0.597, 0.941]",24,581,-0.004338687316907195,-0.0010598522094973362,0.07439244715964875,0.46987951807228917,-0.12708622513032763
20,1,20,14,vol_ratio,"(0.597, 0.941]",72,581,-0.0008448174539084775,-0.003263503688943903,0.1019132493394159,0.4750430292598967,-0.16900167886394468
20,1,20,14,vol_ratio,"(0.597, 0.941]",168,581,-0.014354826207494386,-0.018583862620559777,0.1399982484195678,0.41308089500860584,-0.24535193609978123
20,1,20,14,vol_ratio,"(0.597, 0.941]",336,579,-0.02631856726688586,-0.04074585635359118,0.212002360670075,0.38687392055267705,-0.37612246237250957
20,1,20,14,vol_ratio,"(0.597, 0.941]",672,573,-0.045916763871750296,-0.09408037589435092,0.37265324086804996,0.31239092495637,-0.6607946113040326
20,1,20,14,vol_ratio,"(0.941, 1.421]",1,582,0.002425787275325426,0.00038468127531943175,0.022559175043820816,0.5240549828178694,-0.03479685154697892
20,1,20,14,vol_ratio,"(0.941, 1.421]",6,582,0.005046746792187459,0.00022884277605816905,0.03932096116087813,0.5034364261168385,-0.059832839123261455
20,1,20,14,vol_ratio,"(0.941, 1.421]",24,580,0.0023033558971169857,-5.000500050006407e-05,0.0726515765377303,0.496551724137931,-0.11757174539013801
20,1,20,14,vol_ratio,"(0.941, 1.421]",72,579,0.012881124430748014,0.0001363884342608923,0.11310274624807976,0.5043177892918825,-0.17373840687858358
20,1,20,14,vol_ratio,"(0.941, 1.421]",168,577,0.010774421619943672,-0.0046422683811407905,0.16409211419088252,0.4783362218370884,-0.25997756679501244
20,1,20,14,vol_ratio,"(0.941, 1.421]",336,575,0.004950660896311818,-0.021295876755777154,0.2535954080595816,0.44,-0.4134817624019978
20,1,20,14,vol_ratio,"(0.941, 1.421]",672,571,-0.01733079993625863,-0.07268775658053606,0.44146083045659046,0.36427320490367776,-0.7457411701896328
20,1,20,14,vol_ratio,"(1.421, 2.481]",1,582,0.0010814670422703155,0.0,0.021527011663700114,0.49828178694158076,-0.03443810220283487
20,1,20,14,vol_ratio,"(1.421, 2.481]",6,582,0.00601245461683084,0.003407367882462431,0.04293594414894864,0.5756013745704467,-0.06483185322893442
20,1,20,14,vol_ratio,"(1.421, 2.481]",24,582,0.005889750917388269,-0.0008890312206432105,0.08795168154623943,0.4879725085910653,-0.13923052363390678
20,1,20,14,vol_ratio,"(1.421, 2.481]",72,579,0.012894685191159523,0.00029999999999996696,0.1521475115230578,0.5025906735751295,-0.23814870882188585
20,1,20,14,vol_ratio,"(1.421, 2.481]",168,577,0.0013482397810072,-0.018602728400165303,0.16914864921008602,0.42980935875216636,-0.2777470314156347
20,1,20,14,vol_ratio,"(1.421, 2.481]",336,576,-0.013656333098419092,-0.02728617385349641,0.2223889118097298,0.4236111111111111,-0.38059803758447325
20,1,20,14,vol_ratio,"(1.421, 2.481]",672,570,-0.0558116255939041,-0.08807669694490855,0.3166780167579582,0.30526315789473685,-0.5783303532445351
20,1,20,14,vol_ratio,"(2.481, 178.916]",1,582,0.002853385554821218,0.0001537291383546524,0.024258509331689212,0.506872852233677,-0.03717315484246598
20,1,20,14,vol_ratio,"(2.481, 178.916]",6,582,0.005828689997170546,0.0019323262634320937,0.0686157859829988,0.5395189003436426,-0.10738735687477748
20,1,20,14,vol_ratio,"(2.481, 178.916]",24,581,0.0010358602878079081,-0.0017556179775281011,0.08358442729374195,0.4784853700516351,-0.1368784447468663
20,1,20,14,vol_ratio,"(2.481, 178.916]",72,577,0.007516849979240719,-0.006797583081570968,0.20841329824725413,0.45753899480069327,-0.33636509212872856
20,1,20,14,vol_ratio,"(2.481, 178.916]",168,576,-0.007732947479638537,-0.015089669614556489,0.1536333962542116,0.4409722222222222,-0.26122805129908766
20,1,20,14,vol_ratio,"(2.481, 178.916]",336,574,-0.01611369689336753,-0.024301631751615094,0.21608814293393216,0.42334494773519166,-0.3726591327343556
20,1,20,14,vol_ratio,"(2.481, 178.916]",672,571,-0.03111913489611115,-0.07456171231429976,0.39229744631592167,0.3274956217162872,-0.6784099213173819
20,1,20,14,rsi,"(0.624, 25.566]",1,583,0.004419305024776851,0.0007451564828613311,0.02386205540879994,0.5334476843910806,-0.034953086399743045
20,1,20,14,rsi,"(0.624, 25.566]",6,582,0.006800838510204935,0.0018837288241858596,0.07104793386505401,0.5326460481099656,-0.11042825236713417
20,1,20,14,rsi,"(0.624, 25.566]",24,580,0.0028572898978127537,-0.0010791803487091856,0.08452154009623301,0.4827586206896552,-0.13660325126097173
20,1,20,14,rsi,"(0.624, 25.566]",72,579,0.019236364252757467,0.002446982055464897,0.2177903178538764,0.5129533678756477,-0.34011766020613854
20,1,20,14,rsi,"(0.624, 25.566]",168,579,0.011468828717311374,0.001295896328293633,0.18022155927345446,0.5077720207253886,-0.2858967440838885
20,1,20,14,rsi,"(0.624, 25.566]",336,578,0.00035463154618924406,-0.01705893772446465,0.22696437026181163,0.4602076124567474,-0.3741365793857999
20,1,20,14,rsi,"(0.624, 25.566]",672,571,-0.034730991262726045,-0.06552650973251839,0.3185335934755244,0.3572679509632224,-0.5603114204973413
20,1,20,14,rsi,"(25.566, 32.776]",1,583,0.00269493627983611,0.0002914177473409829,0.020239538154641683,0.5077186963979416,-0.03070030167532266
20,1,20,14,rsi,"(25.566, 32.776]",6,583,0.005707299554773874,0.002382370458606342,0.03912915246309248,0.5540308747855918,-0.058855802009328724
20,1,20,14,rsi,"(25.566, 32.776]",24,583,0.0037532008407751348,-0.0003687043728339834,0.07732241617038858,0.49056603773584906,-0.12382878584036602
20,1,20,14,rsi,"(25.566, 32.776]",72,579,0.0065361219893250635,-0.0052053680357869725,0.11045012856851132,0.4784110535405872,-0.1757065901487186
20,1,20,14,rsi,"(25.566, 32.776]",168,575,-0.00205428252958366,-0.0165631469979296,0.15223791683123286,0.43826086956521737,-0.2532468453011179
20,1,20,14,rsi,"(25.566, 32.776]",336,572,-0.017800788213355102,-0.023116842539343152,0.21030287428153668,0.4353146853146853,-0.36480053077789065
20,1,20,14,rsi,"(25.566, 32.776]",672,568,-0.04370604376591688,-0.09724135734305828,0.43868371266978606,0.3345070422535211,-0.7675341696710639
20,1,20,14,rsi,"(32.776, 41.778]",1,582,-0.00014878956162230468,-0.00042613144767467137,0.019761761887536748,0.46563573883161513,-0.03275569667605794
