ma_period_weekly,confirm_offset,vol_sma_period,rsi_period,horizon_h,n,mean,median,std,win,var_adj
20,1,20,14,1,2921,0.0017317089655323455,0.0,0.021492109892197336,0.499828825744608,-0.033730272356593254
20,1,20,14,6,2920,0.0040704334309342284,0.0015496879260528118,0.04796867003365132,0.5294520547945205,-0.07507787212459045
20,1,20,14,24,2916,0.0008048910960748811,-0.0007873903077612598,0.07712693599088581,0.4777091906721536,-0.12645455328888672
20,1,20,14,72,2906,0.008085210944608262,-0.0009818698981166052,0.14302357542901342,0.4858912594631796,-0.22790368851326387
20,1,20,14,168,2898,-0.0014872240491699005,-0.013849825551148998,0.16464667861920382,0.4385783298826777,-0.2731542437708562
20,1,20,14,336,2891,-0.008603881887271885,-0.028493752287342522,0.2842011188528431,0.41404358353510895,-0.477535727994463
20,1,20,14,672,2863,-0.03163432244100879,-0.08193539442672948,0.48722898245511453,0.3265805099545931,-0.8355621434919478
10,1,20,14,1,4850,0.0010460992510132015,9.156004150701058e-05,0.02136604246625096,0.5010309278350515,-0.03420787081830089
10,1,20,14,6,4848,0.0010707712994986994,-0.00019995001299649706,0.04516657768467792,0.4876237623762376,-0.07345408188021986
10,1,20,14,24,4831,0.0009641117493600844,-0.0006206361520557646,0.0738618582977452,0.48375077623680396,-0.1209079544419195
10,1,20,14,72,4814,0.008415973815478392,-0.0009209865636140013,0.13906688028037759,0.48857498961362694,-0.2210443786471446
10,1,20,14,168,4804,0.004462507562093311,-0.0139363412338116,0.17041049551751145,0.4350541215653622,-0.27671481004180054
10,1,20,14,336,4780,0.006322426692986591,-0.02481437531580094,0.25461819446722805,0.42280334728033475,-0.41379759417793965
10,1,20,14,672,4708,0.010621283038739231,-0.05188563243638156,0.4191188216973987,0.4008071367884452,-0.6809247727619686
30,1,20,14,1,1792,0.0022557708366968817,0.00034537904603804126,0.02457888592900766,0.5167410714285714,-0.03829939094616575
30,1,20,14,6,1792,0.0038830566109958873,0.0007895265016226727,0.05734398352317638,0.5245535714285714,-0.09073451620224512
30,1,20,14,24,1791,0.002916899604095143,-0.0001566906925728473,0.08281043801485068,0.486320491345617,-0.13372032312040846
30,1,20,14,72,1788,0.009470470247714543,-0.004104470171467367,0.16447431322141576,0.46252796420581654,-0.26191214656762146
30,1,20,14,168,1783,-0.010126617369634699,-0.01824095022624439,0.1668225556234136,0.4167134043746495,-0.2853838341482672
30,1,20,14,336,1774,-0.022977292588976288,-0.03735888133976967,0.2629970834560403,0.3833145434047351,-0.4569224802914427
30,1,20,14,672,1760,-0.043490696703067745,-0.0787869327803718,0.49412454692820673,0.3261363636363636,-0.8587961991346088
50,1,20,14,1,1550,0.001642789560381669,0.00020807473943484922,0.01715138155793035,0.5109677419354839,-0.02665699001020341
50,1,20,14,6,1550,0.0007055913560140987,-0.0006856438346867222,0.034694627933281055,0.4729032258064516,-0.05654054473389964
50,1,20,14,24,1550,-0.0007509141955063198,-0.001724580723919733,0.06637120018345433,0.46580645161290324,-0.11026339449820596
50,1,20,14,72,1548,0.0037475509549358805,-0.00020010005002513154,0.10419985034230511,0.4896640826873385,-0.16818220210986756
50,1,20,14,168,1546,0.0019085360011884107,-0.008653803201213228,0.15613075715209454,0.4553686934023286,-0.2557072132997676
50,1,20,14,336,1542,-0.003080895254158098,-0.019288653401724698,0.21436288540663803,0.43190661478599224,-0.35677965617511087
50,1,20,14,672,1537,-0.010131883365981805,-0.05100408743557838,0.28265589487783466,0.38581652569941444,-0.47651410991440896
20,2,20,14,1,2921,0.0014120181952751451,9.999000099991662e-05,0.02209716042769265,0.5018829168093119,-0.03504829651041773
20,2,20,14,6,2920,0.0023294861002146347,0.0,0.04302392939128559,0.49931506849315066,-0.06865999739540658
20,2,20,14,24,2916,-0.002168985374629572,-0.0007173169543318036,0.07618566789361889,0.4818244170096022,-0.12787533739910073
20,2,20,14,72,2905,0.00629327187380041,-0.0006829823562889414,0.13406775327986756,0.48502581755593804,-0.21491852103798104
20,2,20,14,168,2897,-0.003960449106367962,-0.015691727083126383,0.16042146483079625,0.43493268898860893,-0.2686558660771817
20,2,20,14,336,2891,-0.010721962963543132,-0.028397275008963718,0.2837004014242942,0.4060878588723625,-0.4788276253136285
20,2,20,14,672,2863,-0.03403167757434101,-0.08561223350820402,0.486008987220963,0.3262312259867272,-0.8359465064889299
20,3,20,14,1,2921,-6.475145387123266e-05,-0.0002651113467656563,0.017215180366032055,0.4707292023279699,-0.028469799057824124
20,3,20,14,6,2919,0.0019945066546131077,0.00010001000100001711,0.03799549902195647,0.5022267899965742,-0.06069806673161507
20,3,20,14,24,2912,-0.004433522699474533,-0.002718933004901447,0.07216161021072956,0.46119505494505497,-0.12350017954717829
20,3,20,14,72,2905,0.0038829481021996747,-0.0011321822813472604,0.11703308330423938,0.4833046471600688,-0.1892216393497953
20,3,20,14,168,2897,-0.005170978591048097,-0.01516833148353669,0.15877086502872828,0.43493268898860893,-0.26714290588844974
20,3,20,14,336,2890,-0.012910618086175047,-0.030370687032695298,0.27736689374834833,0.40588235294117647,-0.4705659927709498
20,3,20,14,672,2863,-0.034546300679347844,-0.08485567417951756,0.48990935806157987,0.3230876702759343,-0.8428967414809546
20,1,10,14,1,2921,0.0017317089655323455,0.0,0.021492109892197336,0.499828825744608,-0.033730272356593254
20,1,10,14,6,2920,0.0040704334309342284,0.0015496879260528118,0.04796867003365132,0.5294520547945205,-0.07507787212459045
20,1,10,14,24,2916,0.0008048910960748811,-0.0007873903077612598,0.07712693599088581,0.4777091906721536,-0.12645455328888672
20,1,10,14,72,2906,0.008085210944608262,-0.0009818698981166052,0.14302357542901342,0.4858912594631796,-0.22790368851326387
20,1,10,14,168,2898,-0.0014872240491699005,-0.013849825551148998,0.16464667861920382,0.4385783298826777,-0.2731542437708562
20,1,10,14,336,2891,-0.008603881887271885,-0.028493752287342522,0.2842011188528431,0.41404358353510895,-0.477535727994463
20,1,10,14,672,2863,-0.03163432244100879,-0.08193539442672948,0.48722898245511453,0.3265805099545931,-0.8355621434919478
20,1,50,14,1,2921,0.0017317089655323455,0.0,0.021492109892197336,0.499828825744608,-0.033730272356593254
20,1,50,14,6,2920,0.0040704334309342284,0.0015496879260528118,0.04796867003365132,0.5294520547945205,-0.07507787212459045
20,1,50,14,24,2916,0.0008048910960748811,-0.0007873903077612598,0.07712693599088581,0.4777091906721536,-0.12645455328888672
20,1,50,14,72,2906,0.008085210944608262,-0.0009818698981166052,0.14302357542901342,0.4858912594631796,-0.22790368851326387
20,1,50,14,168,2898,-0.0014872240491699005,-0.013849825551148998,0.16464667861920382,0.4385783298826777,-0.2731542437708562
20,1,50,14,336,2891,-0.008603881887271885,-0.028493752287342522,0.2842011188528431,0.41404358353510895,-0.477535727994463
20,1,50,14,672,2863,-0.03163432244100879,-0.08193539442672948,0.48722898245511453,0.3265805099545931,-0.8355621434919478
20,1,20,7,1,2921,0.0017317089655323455,0.0,0.021492109892197336,0.499828825744608,-0.033730272356593254
20,1,20,7,6,2920,0.0040704334309342284,0.0015496879260528118,0.04796867003365132,0.5294520547945205,-0.07507787212459045
20,1,20,7,24,2916,0.0008048910960748811,-0.0007873903077612598,0.07712693599088581,0.4777091906721536,-0.12645455328888672
20,1,20,7,72,2906,0.008085210944608262,-0.0009818698981166052,0.14302357542901342,0.4858912594631796,-0.22790368851326387
20,1,20,7,168,2898,-0.0014872240491699005,-0.013849825551148998,0.16464667861920382,0.4385783298826777,-0.2731542437708562
20,1,20,7,336,2891,-0.008603881887271885,-0.028493752287342522,0.2842011188528431,0.41404358353510895,-0.477535727994463
20,1,20,7,672,2863,-0.03163432244100879,-0.08193539442672948,0.48722898245511453,0.3265805099545931,-0.8355621434919478
20,1,20,21,1,2921,0.0017317089655323455,0.0,0.021492109892197336,0.499828825744608,-0.033730272356593254
20,1,20,21,6,2920,0.0040704334309342284,0.0015496879260528118,0.04796867003365132,0.5294520547945205,-0.07507787212459045
20,1,20,21,24,2916,0.0008048910960748811,-0.0007873903077612598,0.07712693599088581,0.4777091906721536,-0.12645455328888672
20,1,20,21,72,2906,0.008085210944608262,-0.0009818698981166052,0.14302357542901342,0.4858912594631796,-0.22790368851326387
20,1,20,21,168,2898,-0.0014872240491699005,-0.013849825551148998,0.16464667861920382,0.4385783298826777,-0.2731542437708562
20,1,20,21,336,2891,-0.008603881887271885,-0.028493752287342522,0.2842011188528431,0.41404358353510895,-0.477535727994463
20,1,20,21,672,2863,-0.03163432244100879,-0.08193539442672948,0.48722898245511453,0.3265805099545931,-0.8355621434919478
