ma_period_weekly,confirm_offset,vol_sma_period,rsi_period,feature,quantile,horizon_h,n,mean,median,std,win,var_adj
20,1,20,14,rsi,"(0.624, 25.566]",168,579,0.011468828717311374,0.001295896328293633,0.18022155927345446,0.5077720207253886,-0.2858967440838885
20,1,20,14,touch_depth,"(0.00736, 0.0139]",168,580,-0.005028947550553227,-0.005324044735546984,0.13992189172995625,0.4793103448275862,-0.23590006890498103
20,1,20,14,vol_ratio,"(0.941, 1.421]",168,577,0.010774421619943672,-0.0046422683811407905,0.16409211419088252,0.4783362218370884,-0.25997756679501244
20,1,20,14,body_ret,"(-0.331, -0.0109]",168,582,0.012429617497030313,-0.010350414271282582,0.2013634092051493,0.4742268041237113,-0.319820007691466
20,1,20,14,low_wick_ratio,"(0.465, 1.0]",168,582,0.006671724626149293,-0.0009882120946537731,0.17656373323509514,0.4742268041237113,-0.28465843521175765
10,1,20,14,rsi,"(1.312, 27.054]",168,960,0.027339719118398262,0.00027521577407607634,0.19973051439878348,0.5010416666666667,-0.3022156296395944
10,1,20,14,rsi,"(33.994, 44.338]",168,960,0.010502026837648516,-0.0014041551892586268,0.1541540416274507,0.490625,-0.24385214184764514
10,1,20,14,low_wick_ratio,"(0.48, 1.0]",168,964,0.01393451642609548,-0.0006460588933963618,0.154757935373538,0.4896265560165975,-0.24141607694024222
10,1,20,14,rsi,"(27.054, 33.994]",168,951,0.018574032515799085,-0.006999533364442367,0.17509978174271806,0.47423764458464773,-0.2703406073596857
10,1,20,14,up_wick_ratio,"(0.0578, 0.158]",168,956,0.009549888960030686,-0.005475263039307399,0.16612203790410668,0.47175732217573224,-0.26455147358174536
30,1,20,14,body_ret,"(-0.40700000000000003, -0.0109]",168,357,0.03409947272580352,-0.0022645810525052656,0.2431440648453664,0.49019607843137253,-0.367088234269051
30,1,20,14,rsi,"(33.008, 45.562]",168,354,-0.0006566575201207509,-0.00034983516335446163,0.1961902479347496,0.4830508474576271,-0.32437056661245756
30,1,20,14,up_wick_ratio,"(-0.001, 0.0473]",168,356,0.0056267177701067005,-0.0007498150474873344,0.15341934359612022,0.46348314606741575,-0.24751519916349163
30,1,20,14,touch_depth,"(0.0168, 0.0342]",168,356,-0.0021275766925858324,-0.01578066933558836,0.17105746131577615,0.45224719101123595,-0.28437238786361646
30,1,20,14,rsi,"(23.991, 33.008]",168,357,0.003973292244774425,-0.007388428767205024,0.17007244690350784,0.45098039215686275,-0.2766462451460135
50,1,20,14,up_wick_ratio,"(0.0541, 0.149]",168,310,0.01172424383012923,0.010370616084020234,0.13864986737707502,0.5451612903225806,-0.21704803734204453
50,1,20,14,body_ret,"(-0.255, -0.00996]",168,310,0.019947017413797244,0.0011413097247378046,0.19054495367267502,0.5032258064516129,-0.29445215614611653
50,1,20,14,vol_ratio,"(1.475, 2.588]",168,310,0.016267117559973805,1.5545813512374274e-05,0.14457841931784043,0.5,-0.22228727431446288
50,1,20,14,low_wick_ratio,"(0.502, 1.0]",168,310,0.006924656117850614,-0.00014997000599875632,0.15272987197069565,0.4935483870967742,-0.2450796326337972
50,1,20,14,up_wick_ratio,"(-0.001, 0.0541]",168,308,0.021689964606894326,0.0,0.14432556300249302,0.4935064935064935,-0.21644721434721917
20,2,20,14,up_wick_ratio,"(-0.001, 0.0615]",168,580,0.002816909991558654,0.0,0.13594642206767155,0.4982758620689655,-0.2214946864200994
20,2,20,14,body_ret,"(0.0103, 0.294]",168,582,0.013781342356098887,-0.00520236290544801,0.18704320970627147,0.4879725085910653,-0.29483995365924903
20,2,20,14,touch_depth,"(0.00736, 0.0139]",168,580,-0.005662149388700382,-0.0031961450925091506,0.13846110406426873,0.4862068965517241,-0.23412297109474378
20,2,20,14,up_wick_ratio,"(0.0615, 0.158]",168,577,0.0063384035813938274,-0.0064590337993275515,0.1639020646770436,0.48180242634315423,-0.2641000031357281
20,2,20,14,vol_ratio,"(0.00486, 0.446]",168,579,0.002977821071139277,-0.0012944983818771183,0.14265336717837512,0.46632124352331605,-0.23240023477317967
20,3,20,14,up_wick_ratio,"(0.0652, 0.167]",168,576,0.015608477196093234,0.0007294896499119297,0.17835057272634924,0.5017361111111112,-0.27866996780238296
20,3,20,14,touch_depth,"(0.00736, 0.0139]",168,580,-0.005556354158406673,-0.003914545842898187,0.13804967196709797,0.4879310344827586,-0.2333383129041183
20,3,20,14,body_ret,"(0.00202, 0.00869]",168,579,0.00184389186134759,-0.008072653884964698,0.14911822102325453,0.47322970639032813,-0.24420117282702236
20,3,20,14,low_wick_ratio,"(0.487, 1.0]",168,581,0.006413149411162254,-0.0022538385688124496,0.1600289830457562,0.4664371772805508,-0.2576346726143354
20,3,20,14,color,green,168,1452,0.0053397068270904695,-0.009264740285324258,0.16676244412669616,0.4641873278236915,-0.2698183259819582
20,1,10,14,rsi,"(0.624, 25.566]",168,579,0.011468828717311374,0.001295896328293633,0.18022155927345446,0.5077720207253886,-0.2858967440838885
20,1,10,14,touch_depth,"(0.00736, 0.0139]",168,580,-0.005028947550553227,-0.005324044735546984,0.13992189172995625,0.4793103448275862,-0.23590006890498103
20,1,10,14,vol_ratio,"(0.861, 1.278]",168,581,0.01283941576792318,-0.0039333350142457535,0.17786129332043982,0.4750430292598967,-0.2806317182108025
20,1,10,14,body_ret,"(-0.331, -0.0109]",168,582,0.012429617497030313,-0.010350414271282582,0.2013634092051493,0.4742268041237113,-0.319820007691466
20,1,10,14,low_wick_ratio,"(0.465, 1.0]",168,582,0.006671724626149293,-0.0009882120946537731,0.17656373323509514,0.4742268041237113,-0.28465843521175765
20,1,50,14,rsi,"(0.624, 25.566]",168,579,0.011468828717311374,0.001295896328293633,0.18022155927345446,0.5077720207253886,-0.2858967440838885
20,1,50,14,touch_depth,"(0.00736, 0.0139]",168,580,-0.005028947550553227,-0.005324044735546984,0.13992189172995625,0.4793103448275862,-0.23590006890498103
20,1,50,14,body_ret,"(-0.331, -0.0109]",168,582,0.012429617497030313,-0.010350414271282582,0.2013634092051493,0.4742268041237113,-0.319820007691466
20,1,50,14,low_wick_ratio,"(0.465, 1.0]",168,582,0.006671724626149293,-0.0009882120946537731,0.17656373323509514,0.4742268041237113,-0.28465843521175765
20,1,50,14,vol_ratio,"(1.008, 1.573]",168,577,0.009751435872267815,-0.0039333350142457535,0.1570727197666993,0.4731369150779896,-0.24941855174278602
20,1,20,7,rsi,"(26.92, 40.941]",168,577,0.0052213326506627715,-0.00039996000399955545,0.14703218057096376,0.48873483535528595,-0.23738176529142743
20,1,20,7,rsi,"(17.109, 26.92]",168,577,0.002113024489134219,-0.0039333350142457535,0.15630158702091954,0.48353552859618715,-0.255784594095383
20,1,20,7,touch_depth,"(0.00736, 0.0139]",168,580,-0.005028947550553227,-0.005324044735546984,0.13992189172995625,0.4793103448275862,-0.23590006890498103
20,1,20,7,vol_ratio,"(0.941, 1.421]",168,577,0.010774421619943672,-0.0046422683811407905,0.16409211419088252,0.4783362218370884,-0.25997756679501244
20,1,20,7,body_ret,"(-0.331, -0.0109]",168,582,0.012429617497030313,-0.010350414271282582,0.2013634092051493,0.4742268041237113,-0.319820007691466
20,1,20,21,touch_depth,"(0.00736, 0.0139]",168,580,-0.005028947550553227,-0.005324044735546984,0.13992189172995625,0.4793103448275862,-0.23590006890498103
20,1,20,21,vol_ratio,"(0.941, 1.421]",168,577,0.010774421619943672,-0.0046422683811407905,0.16409211419088252,0.4783362218370884,-0.25997756679501244
20,1,20,21,body_ret,"(-0.331, -0.0109]",168,582,0.012429617497030313,-0.010350414271282582,0.2013634092051493,0.4742268041237113,-0.319820007691466
20,1,20,21,low_wick_ratio,"(0.465, 1.0]",168,582,0.006671724626149293,-0.0009882120946537731,0.17656373323509514,0.4742268041237113,-0.28465843521175765
20,1,20,21,body_ret,"(-0.00231, 0.00271]",168,575,-0.0006286824785394436,-0.0003996403237086499,0.14033849106413243,0.4591304347826087,-0.23218719273435795
