horizon_d,n,mean,median,std,win,p25,p75
1,1430,-0.009887864143319526,-0.008204488633330898,0.06716504987336161,0.4195804195804196,-0.05199784337918356,0.02403690799451713
2,1430,-0.015093170956070745,-0.019588937467856282,0.08332063645466002,0.3839160839160839,-0.06669634588513032,0.02499049598041142
3,1430,-0.009842699011441159,-0.018122619186239974,0.0990541549087339,0.4062937062937063,-0.06777197306435256,0.03674556347555219
4,1430,-0.02049641748877847,-0.024870346382434683,0.11517153674875273,0.3657342657342657,-0.08945335442337868,0.029471161441092852
5,1430,-0.018527626675395033,-0.02076181452223419,0.1394559876337772,0.3958041958041958,-0.09891046283102839,0.04126163326248938
6,1430,-0.00919677592779733,-0.01730424521191798,0.15348823101262388,0.42377622377622376,-0.09416929593771986,0.06082900044315748
7,1430,-0.004371723612018095,-0.01985743067150525,0.16049859404545216,0.41468531468531467,-0.09724272283550195,0.05795643413615026
14,1430,0.03063553909076428,-0.027845669762180947,0.29280897300746256,0.44195804195804195,-0.12642432078823482,0.13963621895425343
21,1430,0.020786293634223983,-0.039868408277454526,0.34738707968538285,0.41188811188811186,-0.1519302318148229,0.11291075704845238
28,1430,0.01293617388582855,-0.06361963933630099,0.3931989023647775,0.3685314685314685,-0.1985277727060414,0.10257160346714994
35,1430,0.0057674052899631565,-0.08670229855053346,0.5988800520845541,0.34685314685314683,-0.21167624145977534,0.09885902235478583
42,1430,-0.011323034631187919,-0.10411799738298788,0.5706572245662738,0.3503496503496504,-0.23583509218507068,0.09373017775764181
49,1430,-0.023397325331113352,-0.12357844803102164,0.6557004176194549,0.3118881118881119,-0.2813232840974116,0.08026644519475351
56,1430,-0.002521568291516262,-0.13359771252832836,0.8101956044610645,0.32167832167832167,-0.294639755780702,0.08087936951530095
