symbol,n_events
USDCUSDT,28
ETCUSDT,19
UNIUSDT,19
LINKUSDT,18
XRPUSDT,17
BCHUSDT,16
BNBUSDT,16
ATOMUSDT,16
DOTUSDT,15
AAVEUSDT,14
LTCUSDT,14
FILUSDT,14
BTCUSDT,13
TRXUSDT,13
CHZUSDT,12
ICPUSDT,11
SUSHIUSDT,11
ETHUSDT,11
QTUMUSDT,10
APEUSDT,10
PEOPLEUSDT,10
API3USDT,10
ROSEUSDT,10
DOGEUSDT,10
COMPUSDT,10
1INCHUSDT,10
STGUSDT,10
AVAXUSDT,9
ENSUSDT,9
ENJUSDT,9
AXSUSDT,9
ARUSDT,9
CRVUSDT,9
KSMUSDT,9
JASMYUSDT,9
SANDUSDT,9
ZILUSDT,9
XTZUSDT,9
ADAUSDT,9
THETAUSDT,9
BNTUSDT,9
RSRUSDT,9
KNCUSDT,9
SNXUSDT,8
JUPUSDT,8
MASKUSDT,8
MANAUSDT,8
TLMUSDT,8
XLMUSDT,8
XVGUSDT,8
KAVAUSDT,8
EGLDUSDT,8
ZRXUSDT,8
APTUSDT,8
ALGOUSDT,8
BANUSDT,8
GALAUSDT,7
IOSTUSDT,7
IMXUSDT,7
KAIAUSDT,7
GMXUSDT,7
LUNCUSDT,7
BANDUSDT,7
NEARUSDT,7
GLMUSDT,7
BATUSDT,7
ORDIUSDT,7
ACHUSDT,7
PEPEUSDT,7
RUNEUSDT,7
WUSDT,7
BELUSDT,7
SFPUSDT,7
SHIBUSDT,7
STORJUSDT,7
SOLUSDT,7
WOOUSDT,6
GMTUSDT,6
GRTUSDT,6
KMNOUSDT,6
MAGICUSDT,6
IOTAUSDT,6
JOEUSDT,6
ARBUSDT,6
MEMEUSDT,6
METISUSDT,6
NEOUSDT,6
ONTUSDT,6
TONUSDT,6
RVNUSDT,6
DYDXUSDT,6
SSVUSDT,6
C98USDT,6
CELOUSDT,6
CAKEUSDT,6
CHRUSDT,6
AEVOUSDT,5
1000RATSUSDT,5
JTOUSDT,5
YGGUSDT,5
COTIUSDT,5
ARPAUSDT,5
MANTAUSDT,5
VETUSDT,5
IOTXUSDT,5
CKBUSDT,5
HOTUSDT,5
INJUSDT,5
FETUSDT,5
STXUSDT,5
SPELLUSDT,5
LQTYUSDT,5
LPTUSDT,5
ONEUSDT,5
1000BONKUSDT,5
AXLUSDT,5
CELRUSDT,5
BBUSDT,5
CFXUSDT,5
LDOUSDT,5
TNSRUSDT,5
SUIUSDT,5
QNTUSDT,4
MINAUSDT,4
PYTHUSDT,4
LISTAUSDT,4
ARKMUSDT,4
ZETAUSDT,4
ANKRUSDT,4
ARKUSDT,4
SAGAUSDT,4
SUPERUSDT,4
MOCAUSDT,4
MAVUSDT,4
ICXUSDT,4
LUNAUSDT,4
BGBUSDT,4
SKLUSDT,4
1000XECUSDT,4
PENDLEUSDT,4
BSVUSDT,4
OPUSDT,4
ATHUSDT,4
OGNUSDT,4
PIXELUSDT,4
FLOKIUSDT,4
XVSUSDT,4
TRBUSDT,4
WIFUSDT,4
TAOUSDT,4
MOVRUSDT,4
HBARUSDT,4
VVVUSDT,4
ZROUSDT,4
BLURUSDT,4
ACEUSDT,3
ALTUSDT,3
TIAUSDT,3
BRUSDT,3
ONDOUSDT,3
REZUSDT,3
ZKUSDT,3
POLYXUSDT,3
OGUSDT,3
PROMUSDT,3
POLUSDT,3
DEEPUSDT,3
VANRYUSDT,3
BROCCOLIUSDT,3
ZENUSDT,3
FIDAUSDT,3
ETHFIUSDT,3
ATAUSDT,3
AVAUSDT,3
AGLDUSDT,3
ENAUSDT,3
COOKIEUSDT,3
XAIUSDT,3
STRKUSDT,3
WAXPUSDT,3
SEIUSDT,3
ASTRUSDT,3
IDUSDT,3
DYMUSDT,3
SCRTUSDT,3
SANTOSUSDT,3
CVXUSDT,3
DRIFTUSDT,3
BANANAUSDT,3
KASUSDT,3
SPXUSDT,3
SAFEUSDT,3
BEAMUSDT,3
BOMEUSDT,3
CYBERUSDT,3
BICOUSDT,3
SONICUSDT,2
THEUSDT,2
RESOLVUSDT,2
AEROUSDT,2
BIGTIMEUSDT,2
STOUSDT,2
SKYAIUSDT,2
BRETTUSDT,2
TAIKOUSDT,2
SYRUPUSDT,2
ALICEUSDT,2
AKTUSDT,2
PIPPINUSDT,2
REDUSDT,2
ALCHUSDT,2
SIRENUSDT,2
UMAUSDT,2
PHAUSDT,2
ONGUSDT,2
KERNELUSDT,2
CGPTUSDT,2
VELODROMEUSDT,2
IOUSDT,2
VIRTUALUSDT,2
HOMEUSDT,2
HIVEUSDT,2
GUNUSDT,2
GRIFFAINUSDT,2
WLDUSDT,2
GASUSDT,2
CTSIUSDT,2
FLUXUSDT,2
1000SATSUSDT,2
ETHWUSDT,2
AWEUSDT,2
DOGSUSDT,2
STEEMUSDT,2
LAUSDT,2
MERLUSDT,2
DIAUSDT,2
NOTUSDT,2
NAORISUSDT,2
MUBARAKUSDT,2
MTLUSDT,2
CARVUSDT,2
MOODENGUSDT,2
CETUSUSDT,2
ANIMEUSDT,2
LUMIAUSDT,2
UBUSDT,1
TRUMPUSDT,1
1MBABYDOGEUSDT,1
TOSHIUSDT,1
USTCUSDT,1
SUNUSDT,1
TURBOUSDT,1
SYNUSDT,1
TAGUSDT,1
TUSDT,1
1MCHEEMSUSDT,1
1000CATUSDT,1
WALUSDT,1
VTHOUSDT,1
AAPLUSDT,1
BERAUSDT,1
SOONUSDT,1
AIXBTUSDT,1
ARCUSDT,1
KAITOUSDT,1
JSTUSDT,1
IPUSDT,1
INUSDT,1
ICNTUSDT,1
HYPEUSDT,1
HUSDT,1
HUMAUSDT,1
GPSUSDT,1
GOATUSDT,1
GMEUSDT,1
FARTCOINUSDT,1
EIGENUSDT,1
BANANAS31USDT,1
DOODUSDT,1
CVCUSDT,1
CTKUSDT,1
CROUSDT,1
COWUSDT,1
BARDUSDT,1
CHILLGUYUSDT,1
CATIUSDT,1
BUSDT,1
BIOUSDT,1
LAYERUSDT,1
LSKUSDT,1
MCDUSDT,1
POPCATUSDT,1
SKYUSDT,1
SIGNUSDT,1
SHELLUSDT,1
RPLUSDT,1
RENDERUSDT,1
RAYUSDT,1
RAREUSDT,1
QUSDT,1
PUNDIXUSDT,1
PUMPUSDT,1
POWRUSDT,1
PNUTUSDT,1
MELANIAUSDT,1
PIUSDT,1
PENGUUSDT,1
PARTIUSDT,1
ORDERUSDT,1
ORCAUSDT,1
NMRUSDT,1
NEIROCTOUSDT,1
MRVLUSDT,1
MORPHOUSDT,1
MLNUSDT,1
MEWUSDT,1
1000000MOGUSDT,1
