body_ret_min,vol_ratio_min,h,n,mean,median,win,std
0.01,1.0,4,12003,0.0008348438460073078,-0.0017574692442882123,0.464383904023994,0.04943729443216861
0.01,1.0,12,11989,-0.001566225833103451,-0.004615930879394159,0.4484110434565018,0.07492441866799536
0.01,1.0,24,11977,-0.006458102111720111,-0.010980802270859735,0.41646489104116224,0.09503773774176735
0.01,1.0,72,11923,-0.014648269709872841,-0.02336096458176351,0.3896670301098717,0.14588716210840405
0.01,1.0,168,11636,-0.02637732904259937,-0.05218785860752112,0.34590924716397387,0.230243450657114
0.01,1.0,336,10887,-0.03256969984556417,-0.07901163625915819,0.3212087811150914,0.32031143537918627
0.01,1.0,672,10110,-0.0537802398624061,-0.11847023012685659,0.2788328387734916,0.5499503263371432
0.01,2.0,4,8435,0.000322626766869171,-0.002277904328018221,0.45655008891523413,0.05517952710091685
0.01,2.0,12,8426,-0.0016738315599937675,-0.0051834159849328265,0.44350818893899835,0.08128125272176508
0.01,2.0,24,8419,-0.00649477500824897,-0.011295701969668337,0.4110939541513244,0.09967052639710829
0.01,2.0,72,8382,-0.01451980145299607,-0.024712589686215647,0.3855881651157242,0.1512674895242036
0.01,2.0,168,8163,-0.02477237595294635,-0.05117452921762766,0.34913634693127527,0.23751315509587612
0.01,2.0,336,7591,-0.027347090120083354,-0.076480736055204,0.32854696350941903,0.32908816604389857
0.01,2.0,672,6994,-0.04785763694956438,-0.11764693937624582,0.2843866171003718,0.5664578340599112
0.02,1.0,4,7793,0.0005176840393501674,-0.002993548387096756,0.4574618247144874,0.05933480104958444
0.02,1.0,12,7783,-0.0018046925130645564,-0.007670569236980174,0.43633560323782605,0.0888589315763746
0.02,1.0,24,7772,-0.006304414379595651,-0.013568480550198159,0.41044776119402987,0.11082326476494458
0.02,1.0,72,7737,-0.013960617966834593,-0.029626779530588676,0.381155486622722,0.1655380098501425
0.02,1.0,168,7552,-0.023030955340761307,-0.05688057432704624,0.3494438559322034,0.2623834142117788
0.02,1.0,336,7078,-0.02603107993576966,-0.08594682508149193,0.33060186493359706,0.36373167430176717
0.02,1.0,672,6530,-0.04402616449683728,-0.13364838197911427,0.28407350689127103,0.6245785979268689
0.02,2.0,4,5852,0.0005264240628111439,-0.0033650369293716786,0.45198222829801776,0.0646644225215484
0.02,2.0,12,5845,-0.0012409193975180452,-0.007342790847945535,0.43917878528656973,0.09440994960778831
0.02,2.0,24,5835,-0.005812905877190296,-0.013532123824920528,0.4116538131962296,0.11423477677458095
0.02,2.0,72,5811,-0.013572847666569472,-0.029333333333333322,0.379280674582688,0.16950758757485407
0.02,2.0,168,5670,-0.023156210525435657,-0.05667171748034494,0.34797178130511464,0.2644286720142546
0.02,2.0,336,5288,-0.023619720161782726,-0.08461523398973103,0.3333963691376702,0.35707169840549047
0.02,2.0,672,4872,-0.04209099317757771,-0.1328378983152168,0.2881773399014778,0.6224112257196832
0.03,1.0,4,5028,0.0005600575684883155,-0.005308095693536741,0.4419252187748608,0.0714548415897381
0.03,1.0,12,5023,-0.0011511352170106674,-0.010450065312908152,0.4234521202468644,0.10772394855061468
0.03,1.0,24,5011,-0.006405431429127886,-0.018495128112594683,0.3975254440231491,0.12650275542017972
0.03,1.0,72,4994,-0.01339726856320853,-0.033361222404339586,0.3748498197837405,0.18993147068386593
0.03,1.0,168,4878,-0.021301187087416885,-0.06215810733735844,0.34911849118491184,0.29216746408426375
0.03,1.0,336,4585,-0.02397223889283259,-0.09555911029859843,0.3317339149400218,0.3996355922103414
0.03,1.0,672,4214,-0.03609348173046878,-0.15061422049232148,0.2840531561461794,0.6990149991597041
0.03,2.0,4,4069,0.0011359705234298776,-0.004326328800988932,0.4485131481936594,0.07614678011037673
0.03,2.0,12,4064,-0.0014487733648806246,-0.009927415175273235,0.42913385826771655,0.11046873034238994
0.03,2.0,24,4056,-0.0071510385058897565,-0.01851826862984496,0.39595660749506906,0.13002320015839317
0.03,2.0,72,4039,-0.01337932225344708,-0.03369621565578007,0.37360732854666995,0.1896970903863955
0.03,2.0,168,3942,-0.02239259685178658,-0.06398841581910614,0.34271943176052766,0.29619144984441004
0.03,2.0,336,3692,-0.02297984410338514,-0.09493487078517243,0.3301733477789816,0.3887069719541386
0.03,2.0,672,3395,-0.03758230364919344,-0.14634146341463405,0.28718703976435933,0.6791880597299359
