body_ret_min,vol_ratio_min,pullback_timeout_h,h,n,mean,median,win,std
0.01,1.0,24,4,11951,1.2611144403344568e-05,-0.00041017227235451426,0.48807631160572335,0.03864975944703516
0.01,1.0,24,12,11943,-0.002195653036034392,-0.0037536937944253612,0.4529012810851545,0.06861971917812039
0.01,1.0,24,24,11932,-0.005768938568762384,-0.009907893313749694,0.41233657391887363,0.09332122361037351
0.01,1.0,24,72,11877,-0.01423594196890462,-0.02319474835886215,0.39976425023153994,0.14232832955246202
0.01,1.0,24,168,11570,-0.0261277543280343,-0.05228844911111985,0.349438202247191,0.2117759747718556
0.01,1.0,24,336,10836,-0.03194009537186298,-0.07607516487787647,0.3196751568844592,0.31383171340199956
0.01,1.0,24,672,10061,-0.05399860500509009,-0.11852861035422346,0.27641387536030215,0.5339969272404073
0.01,1.0,168,4,11994,-1.0000206648065875e-05,-0.00042508425620502166,0.4875771218942805,0.03864742824995308
0.01,1.0,168,12,11986,-0.002276459217788994,-0.0037385825050875177,0.45302853328883697,0.06879557700446434
0.01,1.0,168,24,11975,-0.005844250650308778,-0.00990099009900991,0.41227557411273485,0.09348786942522505
0.01,1.0,168,72,11919,-0.014415994738304079,-0.02326411521867333,0.3992784629583019,0.14239640770950115
0.01,1.0,168,168,11612,-0.02634250401645803,-0.052356175118691894,0.34903548053737515,0.21162816446964308
0.01,1.0,168,336,10877,-0.03219267622292979,-0.0762376237623763,0.3193895375563115,0.3135295310135025
0.01,1.0,168,672,10102,-0.054389329732265915,-0.11868578701692623,0.2759849534745595,0.5332551639039542
0.01,2.0,24,4,8391,-0.0002390873721830923,-0.0007737692233292792,0.47944225956381836,0.040129065873301575
0.01,2.0,24,12,8389,-0.001992315789273472,-0.0036099433375983425,0.45309333651209915,0.07028423838614685
0.01,2.0,24,24,8377,-0.005383392268962545,-0.009537055434134634,0.4187656679002029,0.09110786770074415
0.01,2.0,24,72,8342,-0.013195168785408133,-0.02280673208854722,0.39810596979141694,0.1450738349880174
0.01,2.0,24,168,8106,-0.024318081905549085,-0.05006805106439638,0.3559092030594621,0.21791329784426924
0.01,2.0,24,336,7546,-0.026269532596660528,-0.07337082190776884,0.32904850251789025,0.3251925729572221
0.01,2.0,24,672,6951,-0.047814260549816516,-0.11681415929203542,0.28298086606243705,0.5495819659387292
0.01,2.0,168,4,8428,-0.00026958872595730346,-0.0007734327369062766,0.47935453251067867,0.04018868679046605
0.01,2.0,168,12,8426,-0.002146795476361511,-0.003608723472550923,0.45312129124139566,0.07064319118063932
0.01,2.0,168,24,8414,-0.005554249891179958,-0.009544906353628257,0.41846921797004993,0.09150380735883995
0.01,2.0,168,72,8379,-0.01340671450602498,-0.022844329210609304,0.39766081871345027,0.14524409038922173
0.01,2.0,168,168,8143,-0.02460989545282474,-0.05032350826743359,0.35552007859511237,0.21781195929761143
