body_ret_min,vol_ratio_min,pullback_timeout_h,h,n,mean,median,win,std
0.03,3.0,12,4,2898,-0.0008042241645158179,-0.0019535779976618817,0.45997239475500346,0.05468551809688808
0.03,3.0,12,12,2897,-0.004262198784706697,-0.007418976962124124,0.4301001035554021,0.09441770878053084
0.03,3.0,12,24,2890,-0.008931996383756571,-0.013962271636791979,0.4031141868512111,0.10629975220188985
0.03,3.0,12,72,2881,-0.016616745628146606,-0.030743314381975084,0.379382158972579,0.17210698478420963
0.03,3.0,12,168,2807,-0.02709230838840979,-0.06159110350727126,0.3448521553259708,0.23648122522594078
0.03,3.0,12,336,2637,-0.029026836284903927,-0.0857489551031414,0.3265073947667804,0.34171036135156124
0.03,3.0,12,672,2414,-0.044055831549521224,-0.1422317053962197,0.2862468931234466,0.6135092302268887
0.03,3.0,24,4,3197,-0.0005506293687863343,-0.0017933710484699938,0.4648107600875821,0.05451548158510176
0.03,3.0,24,12,3196,-0.0035818174567785748,-0.006873775027165185,0.4330413016270338,0.09354491641975474
0.03,3.0,24,24,3189,-0.007577622546118127,-0.013475206441805998,0.4045155221072437,0.10733863852437779
0.03,3.0,24,72,3179,-0.014332738513555,-0.029498525073746396,0.3862849952815351,0.17408892248836338
0.03,3.0,24,168,3094,-0.027474200560303804,-0.06144979785415555,0.34841628959276016,0.236889800331706
0.03,3.0,24,336,2898,-0.028889541246735973,-0.08606845447622302,0.3274672187715666,0.3411331945291251
0.03,3.0,24,672,2659,-0.043476908573030146,-0.14290850260650734,0.28506957502820607,0.6160076112649882
0.03,5.0,12,4,1896,-0.0015222940571581918,-0.0019429500251508802,0.45675105485232065,0.05456587403420516
0.03,5.0,12,12,1895,-0.00547402729537572,-0.010052271813429825,0.41108179419525065,0.0988751310056742
0.03,5.0,12,24,1890,-0.011149263160981318,-0.01497867478618009,0.39470899470899473,0.10638153611318649
0.03,5.0,12,72,1887,-0.017763175705399183,-0.0330990041007615,0.37307896131425544,0.16983568740879967
0.03,5.0,12,168,1836,-0.023217707648400997,-0.06161746956185482,0.3464052287581699,0.24161574211026945
0.03,5.0,12,336,1727,-0.02919281650472159,-0.08667830133798726,0.3126809496236248,0.3519427487589502
0.03,5.0,12,672,1578,-0.04430567162930935,-0.13426150920264673,0.28073510773130544,0.6126019169233831
0.03,5.0,24,4,2095,-0.0009486338676324406,-0.0017933710484699938,0.46157517899761336,0.05468051476033918
0.03,5.0,24,12,2094,-0.004328314405444522,-0.009481747337819868,0.4140401146131805,0.09831956197644288
0.03,5.0,24,24,2089,-0.008731667432929857,-0.013950214372560277,0.39827668741024413,0.10898503085158215
0.03,5.0,24,72,2086,-0.015597349101122015,-0.032297878662574886,0.37919463087248323,0.1717164097508854
0.03,5.0,24,168,2028,-0.02412446228533309,-0.06082079113439004,0.34960552268244577,0.23834326338154752
0.03,5.0,24,336,1900,-0.026953991496739247,-0.08588938644168664,0.3173684210526316,0.35166694576164337
0.03,5.0,24,672,1738,-0.042650920638573175,-0.13353147419500694,0.28308400460299193,0.6069694972617278
0.03,10.0,12,4,894,-0.0033015023216410454,-0.0027672044422858977,0.4429530201342282,0.05390775677329245
0.03,10.0,12,12,893,-0.0061780885371098705,-0.012222222222222134,0.3919372900335946,0.11615288507646628
0.03,10.0,12,24,891,-0.014336552713949203,-0.01778765981100594,0.3782267115600449,0.10762000173854148
0.03,10.0,12,72,890,-0.02389486964882615,-0.04154576199957982,0.3325842696629214,0.1817750148553491
0.03,10.0,12,168,873,-0.02656006477544116,-0.06065540403012415,0.32989690721649484,0.23930683723582002
