body_ret_min,vol_ratio_min,pullback_timeout_h,horizon_h,n,mean,median,std,win,var_adj
0.03,3.0,12,4,5685,0.0007023649021337798,-0.0007745933384972759,0.046636826919250744,0.48390501319261214,-0.07624839951462994
0.03,3.0,12,12,5684,0.00026931082114101877,-0.004450008270163952,0.07993114782416419,0.4512667135819845,-0.13161708308872988
0.03,3.0,12,24,5677,-0.0024820376486830516,-0.009979454065159987,0.09612718527285577,0.42857142857142855,-0.16109189334889507
0.03,3.0,12,72,5668,-0.0016070944406461755,-0.01900054620945868,0.15901078816348746,0.42378263937896965,-0.26397489491040044
0.03,3.0,12,168,5594,0.004155625927040599,-0.030564595151866714,0.2360821768606186,0.42366821594565607,-0.38537996589298007
0.03,3.0,12,336,5424,0.02808380151933548,-0.045173072958461846,0.36773076312278224,0.4234882005899705,-0.5786719576332553
0.03,3.0,12,672,5201,0.03177651498447173,-0.0839949853740074,0.5704459233621504,0.39030955585464333,-0.9094592585630763
0.03,3.0,24,4,6313,0.0008216926335951735,-0.0007281449436760123,0.04682434015574391,0.48550609852684934,-0.07643846862338227
0.03,3.0,24,12,6312,0.0008337235993326196,-0.004250490574848109,0.07998309455282751,0.45453105196451205,-0.13113838241283277
0.03,3.0,24,24,6305,-0.0013404398563684114,-0.009601788826411384,0.09745273177733313,0.43108643933386204,-0.16213744728896806
0.03,3.0,24,72,6295,-0.00010881310009041083,-0.018000765990042078,0.16074602077215489,0.42764098490865765,-0.26533974737414595
0.03,3.0,24,168,6210,0.004807293231749866,-0.02936070310076533,0.24049053837068865,0.4256038647342995,-0.39200209507988637
0.03,3.0,24,336,6014,0.02771539553224708,-0.04495833401329091,0.3657495226938229,0.423678084469571,-0.5757713169125606
0.03,3.0,24,672,5775,0.03051376595862492,-0.08448725667268697,0.5683816144143887,0.38805194805194804,-0.9073158978251165
0.03,5.0,12,4,3585,0.00038879783602609744,-0.0009920634920634885,0.04715468561413936,0.4797768479776848,-0.07741643342730385
0.03,5.0,12,12,3584,-0.0008755679073125952,-0.006025283096558254,0.0833846012618079,0.43191964285714285,-0.13846015998929564
0.03,5.0,12,24,3579,-0.004097675168758923,-0.010643689812468438,0.096886515761736,0.42134674490081025,-0.16396042617562331
0.03,5.0,12,72,3576,-0.0039061918612230155,-0.020371412226747376,0.15722160316468728,0.41442953020134227,-0.26332183708295703
0.03,5.0,12,168,3525,0.0025326553061916744,-0.032697547683923744,0.23438100206530138,0.42127659574468085,-0.3841959981015556
0.03,5.0,12,336,3416,0.024699739420355058,-0.0473774872501192,0.3796842792630588,0.4162763466042155,-0.6017793213636919
0.03,5.0,12,672,3267,0.02971375103427218,-0.07740058195926292,0.5819351949176884,0.38628711355984086,-0.9304793205799137
0.03,5.0,24,4,3990,0.0004607059499820854,-0.0010648584875098677,0.04744139645930061,0.47869674185463656,-0.07781759820786391
0.03,5.0,24,12,3989,-0.00026180208630647314,-0.005680527152919668,0.08357955610521768,0.43494610177989473,-0.13816806965991563
0.03,5.0,24,24,3984,-0.002648410771719405,-0.009808447874732673,0.09871246445712718,0.42620481927710846,-0.16552397712597924
0.03,5.0,24,72,3981,-0.0023033518863907966,-0.01939281538523574,0.15964850474856052,0.4194925898015574,-0.26572338472151563
0.03,5.0,24,168,3923,0.00279173907916945,-0.0308966474905773,0.23419765112471438,0.4231455518735662,-0.38363438527660926
0.03,5.0,24,336,3795,0.025392255765669808,-0.046254989434139415,0.3763273237168464,0.41870882740447957,-0.5955478283671267
0.03,5.0,24,672,3633,0.03030268796173839,-0.07702984038861904,0.5751146891847378,0.3886595100467933,-0.918636549193079
0.03,10.0,12,4,1580,-0.0008262350994108613,-0.001444530059621696,0.04818401912302006,0.47151898734177217,-0.08032986665239396
0.03,10.0,12,12,1579,-0.001908839806992718,-0.008519490811828123,0.09768418653096134,0.41101963267891073,-0.16308774758307892
0.03,10.0,12,24,1577,-0.008021865991532437,-0.013736263736263798,0.09842141743621842,0.40710209258084973,-0.17041720476129282
0.03,10.0,12,72,1576,-0.009990807523303554,-0.0278484127305883,0.1667390481691244,0.38261421319796957,-0.2851102370023588
0.03,10.0,12,168,1559,-0.0033977555857045475,-0.037308868501528925,0.23176278682575238,0.40153944836433614,-0.38580635384819595
0.03,10.0,12,336,1499,0.02458151362809235,-0.0471776357515733,0.40180669404829833,0.409606404269513,-0.6383995315515999
0.03,10.0,12,672,1429,0.049515646491180045,-0.05653710247349819,0.5925890293922988,0.4072778166550035,-0.9282562520061131
0.03,10.0,24,4,1768,-0.0007400722944361395,-0.001476120647190382,0.048892610263202074,0.47115384615384615,-0.08141287922871955
0.03,10.0,24,12,1767,-0.001275047365529738,-0.007202625102542992,0.09766637831298187,0.41765704584040747,-0.16242457158194984
0.03,10.0,24,24,1765,-0.005975104920401628,-0.0117647058823529,0.10314790576980785,0.41246458923512747,-0.17616914944058457
