strategy,A_n_bars,A_tolerance,h,n,mean,median,win,B_timeout_h,C_n_bars,D_n_bars,E_max_days
A,12.0,0.02,4,2432,-0.0013641292138963875,-0.0020164587869331285,0.4555921052631579,,,,
A,12.0,0.02,24,2428,-0.009373193867317378,-0.014107808059590277,0.3900329489291598,,,,
A,12.0,0.02,72,2417,-0.016302176960678857,-0.031147755529380983,0.3806371534960695,,,,
A,12.0,0.02,168,2353,-0.029744373370643378,-0.06089139987445069,0.34169145771355713,,,,
A,12.0,0.02,336,2204,-0.03450720133034427,-0.08484641984303465,0.32441016333938294,,,,
A,12.0,0.02,672,2040,-0.041615038132011895,-0.13534044020305325,0.2926470588235294,,,,
A,12.0,0.05,4,2833,-0.0014061858301575852,-0.002031584364926675,0.45746558418637484,,,,
A,12.0,0.05,24,2827,-0.00848219466222229,-0.013875774867605384,0.39547223204810755,,,,
A,12.0,0.05,72,2813,-0.01563958787597734,-0.03052785210411091,0.38535371489512976,,,,
A,12.0,0.05,168,2737,-0.02934503884737141,-0.060292822362189025,0.34088417975886004,,,,
A,12.0,0.05,336,2561,-0.032800146874013475,-0.08592794995326092,0.3217493166731745,,,,
A,12.0,0.05,672,2364,-0.04580175883546745,-0.1385594964036494,0.28722504230118445,,,,
A,24.0,0.02,4,2030,0.0013796586460524958,-0.0011386932288440788,0.474384236453202,,,,
A,24.0,0.02,24,2026,-0.006064379835741952,-0.012721328003648058,0.40325765054294177,,,,
A,24.0,0.02,72,2019,-0.012163221840648376,-0.029137093761673505,0.39029222387320456,,,,
A,24.0,0.02,168,1971,-0.027251305075620597,-0.059788359788359724,0.3465246067985794,,,,
A,24.0,0.02,336,1838,-0.03799124335344262,-0.08737504630343351,0.3204570184983678,,,,
A,24.0,0.02,672,1706,-0.05064270219173406,-0.13595374857067827,0.2854630715123095,,,,
A,24.0,0.05,4,2521,0.0012290060161881452,-0.0010711990287796125,0.47560491868306226,,,,
A,24.0,0.05,24,2517,-0.004794255549013353,-0.012234616768621698,0.41199841080651567,,,,
