year,quarter,report_period,revenue_eok,op_profit_eok,net_profit_eok,fs_div
2016,1,2016Q1,36557,5618,4480,CFS
2016,2,2016Q2,39409,4529,2861,CFS
2016,3,2016Q3,42436,7260,5978,CFS
2016,4,2016Q4,53577,15361,16286,CFS
2017,1,2017Q1,62895,24676,18987,CFS
2017,2,2017Q2,66923,30507,24685,CFS
2017,3,2017Q3,81001,37372,30542,CFS
2017,4,2017Q4,90276,44658,32201,CFS
2018,1,2018Q1,87197,43673,31203,CFS
2018,2,2018Q2,103705,55739,43299,CFS
2018,3,2018Q3,114168,64724,46936,CFS
2018,4,2018Q4,99381,44301,33963,CFS
2019,1,2019Q1,67727,13665,11028,CFS
2019,2,2019Q2,64522,6376,5355,CFS
2019,3,2019Q3,68388,4726,4932,CFS
2019,4,2019Q4,69271,2360,-1182,CFS
2020,1,2020Q1,71989,8003,6482,CFS
2020,2,2020Q2,86065,19467,12629,CFS
2020,3,2020Q3,81288,12997,10773,CFS
2020,4,2020Q4,79662,9659,17668,CFS
2021,1,2021Q1,84942,13244,9904,CFS
2021,2,2021Q2,103217,26946,19845,CFS
2021,3,2021Q3,118053,41718,33108,CFS
2021,4,2021Q4,123766,42195,33165,CFS
2022,1,2022Q1,121557,28596,19788,CFS
2022,2,2022Q2,138110,41926,28715,CFS
2022,3,2022Q3,109829,16556,11067,CFS
2022,4,2022Q4,76720,-18984,-37276,CFS
2023,1,2023Q1,50881,-34023,-25804,CFS
2023,2,2023Q2,73059,-28821,-29912,CFS
2023,3,2023Q3,90662,-17920,-20221,CFS
2023,4,2023Q4,113055,3460,-14213,CFS
2024,1,2024Q1,124296,28860,21484,CFS
2024,2,2024Q2,164233,54685,45091,CFS
2024,3,2024Q3,175731,70300,55802,CFS
2024,4,2024Q4,197670,80828,87954,CFS
2025,1,2025Q1,176391,74405,81141,CFS
2025,2,2025Q2,222320,92129,59430,CFS
2025,3,2025Q3,244489,113834,130804,CFS
2025,4,2025Q4,328267,191696,158469,CFS
