date,삼성전자,SK하이닉스,LG에너지솔루션,삼성바이오,현대차,가중평균_외인비중_%
2025-09-11,50.53,56.09,4.13,12.88,36.47,44.99
2025-09-12,50.72,56.21,4.08,12.87,36.57,45.13
2025-09-15,50.78,56.25,4.09,12.88,36.22,45.16
2025-09-16,51.02,56.32,4.13,12.89,36.18,45.3
2025-09-17,51.04,56.26,4.11,12.87,36.18,45.3
2025-09-18,51.12,56.21,4.1,12.85,36.24,45.33
2025-09-19,51.11,56.08,4.09,12.86,36.04,45.28
2025-09-22,51.25,55.9,4.1,12.85,36.26,45.32
2025-09-23,51.26,55.9,4.11,12.87,36.3,45.33
2025-09-24,51.27,55.81,4.09,12.86,36.27,45.3
2025-09-25,51.35,55.85,4.13,12.81,36.25,45.36
2025-09-26,51.37,55.57,4.14,12.8,36.14,45.29
2025-09-29,51.38,55.48,4.13,12.8,36.22,45.27
2025-09-30,51.41,55.45,4.12,12.78,36.22,45.28
2025-10-01,51.52,55.48,4.13,12.8,36.22,45.35
2025-10-02,51.85,55.64,4.17,12.82,36.39,45.58
2025-10-10,51.96,55.61,4.1,12.83,36.32,45.62
2025-10-13,51.92,55.44,4.12,12.86,36.35,45.56
2025-10-14,51.96,55.41,4.2,12.88,36.46,45.59
2025-10-15,52.0,55.3,4.22,13.04,36.43,45.59
2025-10-16,52.09,55.35,4.29,13.06,36.63,45.67
2025-10-17,52.15,55.3,4.34,13.07,36.51,45.69
2025-10-20,52.13,55.23,4.37,13.14,36.35,45.66
2025-10-21,52.15,55.13,4.35,13.15,36.53,45.65
2025-10-22,52.15,54.96,4.35,13.15,36.3,45.6
2025-10-23,52.13,54.87,4.38,13.13,36.26,45.56
2025-10-24,52.22,54.99,4.42,13.12,36.26,45.64
2025-10-27,52.36,54.94,4.49,13.13,36.25,45.71
2025-10-28,52.3,54.63,4.53,13.1,36.18,45.59
2025-10-29,52.26,54.6,4.54,13.11,36.12,45.56
2025-10-30,52.36,54.53,4.61,13.09,35.62,45.58
2025-10-31,52.62,54.37,4.61,13.09,35.78,45.68
2025-11-03,52.56,54.33,4.6,13.09,35.69,45.64
2025-11-04,52.47,54.21,4.63,13.09,35.57,45.55
2025-11-05,52.43,53.9,4.67,13.09,35.64,45.46
2025-11-06,52.3,53.77,4.66,13.09,35.61,45.35
2025-11-07,52.34,53.7,4.64,13.09,35.6,45.35
2025-11-10,52.36,53.67,4.62,13.09,35.62,45.35
2025-11-11,52.39,53.57,4.61,13.09,35.63,45.34
2025-11-12,52.32,53.95,4.59,13.09,35.71,45.41
2025-11-13,52.34,54.0,4.55,13.09,35.74,45.43
2025-11-14,52.23,53.67,4.54,13.09,35.74,45.28
2025-11-17,52.29,53.76,4.6,13.09,35.73,45.34
2025-11-18,52.31,53.63,4.63,13.09,35.78,45.32
2025-11-19,52.27,53.46,4.67,13.09,35.74,45.26
2025-11-20,52.36,53.36,4.67,13.09,35.63,45.28
2025-11-21,52.2,53.59,4.7,3.07,35.63,44.59
2025-11-24,52.22,53.46,4.72,4.17,35.55,44.64
2025-11-25,52.22,53.43,4.71,4.07,35.55,44.62
2025-11-26,52.26,53.34,4.68,4.19,35.52,44.63
2025-11-27,52.27,53.39,4.68,12.76,35.51,45.21
2025-11-28,52.17,53.21,4.65,12.74,35.47,45.1
2025-12-01,52.14,53.3,4.67,12.72,35.41,45.11
2025-12-02,52.22,53.39,4.65,12.71,35.55,45.18
2025-12-03,52.24,53.3,4.68,12.71,35.51,45.17
2025-12-04,52.21,53.18,4.64,12.7,35.75,45.13
2025-12-05,52.28,53.14,4.65,12.65,36.45,45.18
2025-12-08,52.3,53.23,4.66,12.64,36.29,45.21
2025-12-09,52.23,53.24,4.65,12.66,36.28,45.18
2025-12-10,52.21,53.41,4.64,12.67,36.2,45.21
2025-12-11,52.26,53.38,4.58,12.7,36.17,45.22
2025-12-12,52.24,53.38,4.57,12.7,36.14,45.21
2025-12-15,52.11,53.41,4.58,12.71,36.12,45.15
2025-12-16,52.07,53.32,4.56,12.69,36.1,45.1
2025-12-17,52.12,53.34,4.57,12.67,36.03,45.13
2025-12-18,52.11,53.37,4.55,12.66,36.04,45.13
2025-12-19,51.98,53.33,4.62,12.64,36.05,45.05
2025-12-22,52.13,53.42,4.63,12.62,35.99,45.15
2025-12-23,52.22,53.44,4.62,12.62,35.95,45.2
2025-12-24,52.22,53.54,4.53,12.64,35.93,45.22
2025-12-26,52.42,53.74,4.55,12.63,35.88,45.38
2025-12-29,52.34,53.82,4.63,12.64,35.94,45.37
2025-12-30,52.33,53.83,4.65,12.63,35.97,45.37
2026-01-02,52.37,53.81,4.66,12.62,35.95,45.38
2026-01-05,52.4,53.82,4.68,12.67,36.05,45.41
2026-01-06,52.18,53.88,4.7,12.67,35.97,45.31
2026-01-07,52.22,53.98,4.7,12.71,36.62,45.39
2026-01-08,52.15,53.97,4.73,12.84,36.25,45.34
2026-01-09,52.03,53.8,4.74,12.82,36.15,45.23
2026-01-12,51.91,53.79,4.76,12.8,35.88,45.15
2026-01-13,51.84,53.64,4.75,12.79,35.77,45.06
2026-01-14,51.85,53.58,4.77,12.81,35.39,45.04
2026-01-15,51.85,53.54,4.79,12.84,35.26,45.02
2026-01-16,51.86,53.5,4.85,12.84,35.05,45.01
2026-01-19,51.86,53.5,4.85,12.87,35.05,45.02
2026-01-20,51.8,53.46,4.84,12.88,34.47,44.94
2026-01-21,51.92,53.55,4.84,12.85,34.34,45.02
2026-01-22,51.93,53.56,4.86,12.63,33.09,44.96
2026-01-23,51.89,53.56,4.85,12.66,32.63,44.91
2026-01-26,51.91,53.51,4.86,12.71,32.52,44.91
2026-01-27,51.97,53.6,4.91,12.72,32.2,44.95
2026-01-28,51.93,53.56,4.85,12.7,32.04,44.91
2026-01-29,51.8,53.43,4.83,12.72,31.84,44.79
