Date,삼성주가,삼성시총_조,삼성TTM순이익_조,삼성PER,하이닉스주가,하이닉스시총_조,하이닉스TTM순이익_조,하이닉스PER
2016-01-04,24100,143.871759455,,,30150,21.94927130475,,
2016-01-05,24160,144.229946408,,,30600,22.276872369,,
2016-01-06,23500,140.289889925,,,30750,22.38607272375,,
2016-01-07,23260,138.857142113,,,30200,21.985671423,,
2016-01-08,23420,139.812307321,,,29700,21.6216702405,,
2016-01-11,23040,137.543789952,,,28650,20.85726775725,,
2016-01-12,22920,136.827416046,,,27800,20.238465747,,
2016-01-13,22960,137.066207348,,,28100,20.4568664565,,
2016-01-14,22760,135.872250838,,,27900,20.3112659835,,
2016-01-15,22640,135.155876932,,,26800,19.510463382,,
2016-01-18,22520,134.439503026,,,26700,19.4376631455,,
2016-01-19,23420,139.812307321,,,28300,20.6024669295,,
2016-01-20,22760,135.872250838,,,26800,19.510463382,,
2016-01-21,22620,135.036481281,,,26600,19.364862909,,
2016-01-22,23360,139.454120368,,,27150,19.76526420975,,
2016-01-25,23240,138.737746462,,,28000,20.38406622,,
2016-01-26,22740,135.752855187,,,27850,20.27486586525,,
2016-01-27,23500,140.289889925,,,27650,20.12926539225,,
2016-01-28,22900,136.708020395,,,27650,20.12926539225,,
2016-01-29,23000,137.30499865,,,27300,19.8744645645,,
2016-02-01,23260,138.857142113,,,28400,20.675267166,,
2016-02-02,23120,138.021372556,,,28450,20.71166728425,,
2016-02-03,22920,136.827416046,,,27450,19.98366491925,,
2016-02-04,23120,138.021372556,,,28100,20.4568664565,,
2016-02-05,23280,138.976537764,,,28100,20.4568664565,,
2016-02-11,22600,134.91708563,,,27150,19.76526420975,,
2016-02-12,22600,134.91708563,,,27350,19.91086468275,,
2016-02-15,23080,137.782581254,,,27700,20.1656655105,,
2016-02-16,23360,139.454120368,,,28900,21.0392683485,,
2016-02-17,23700,141.483846435,,,30050,21.87647106825,,
2016-02-18,23740,141.722637737,,,30200,21.985671423,,
2016-02-19,23800,142.08082469,,,29600,21.548870004,,
2016-02-22,23500,140.289889925,,,29900,21.7672707135,,
2016-02-23,23620,141.006263831,,,30400,22.131271896,,
2016-02-24,23440,139.931702972,,,30900,22.4952730785,,
2016-02-25,23580,140.767472529,,,30800,22.422472842,,
2016-02-26,23440,139.931702972,,,30800,22.422472842,,
2016-02-29,23560,140.648076878,,,30000,21.84007095,,
2016-03-02,23940,142.916594247,,,30950,22.53167319675,,
2016-03-03,24400,145.66269422,,,31950,23.25967556175,,
2016-03-04,24300,145.065715965,,,31900,23.2232754435,,
2016-03-07,24460,146.020881173,,,31900,23.2232754435,,
