year,quarter,report_period,revenue_eok,op_profit_eok,net_profit_eok,fs_div
2016,1,2016Q1,497823,66758,52635,CFS
2016,2,2016Q2,509371,81440,58262,CFS
2016,3,2016Q3,478156,52001,44088,CFS
2016,4,2016Q4,533317,92208,69172,CFS
2017,1,2017Q1,505475,98984,74885,CFS
2017,2,2017Q2,610005,140665,107999,CFS
2017,3,2017Q3,620489,145332,110398,CFS
2017,4,2017Q4,659784,151470,120163,CFS
2018,1,2018Q1,605637,156422,116118,CFS
2018,2,2018Q2,584827,148690,109815,CFS
2018,3,2018Q3,654600,175749,129674,CFS
2018,4,2018Q4,592650,108006,83301,CFS
2019,1,2019Q1,523855,62333,51075,CFS
2019,2,2019Q2,561271,65971,50645,CFS
2019,3,2019Q3,620035,77779,61050,CFS
2019,4,2019Q4,598848,71603,52280,CFS
2020,1,2020Q1,553252,64473,48896,CFS
2020,2,2020Q2,529661,81463,54890,CFS
2020,3,2020Q3,669642,123532,92668,CFS
2020,4,2020Q4,615515,90470,64455,CFS
2021,1,2021Q1,653885,93829,70928,CFS
2021,2,2021Q2,636716,125667,94507,CFS
2021,3,2021Q3,739792,158175,120572,CFS
2021,4,2021Q4,765655,138667,106431,CFS
2022,1,2022Q1,777815,141214,111291,CFS
2022,2,2022Q2,772036,140970,109545,CFS
2022,3,2022Q3,767817,108520,91439,CFS
2022,4,2022Q4,704646,43061,235025,CFS
2023,1,2023Q1,637454,6402,14013,CFS
2023,2,2023Q2,600055,6685,15470,CFS
2023,3,2023Q3,674047,24335,55013,CFS
2023,4,2023Q4,677799,28247,60238,CFS
2024,1,2024Q1,719156,66060,67547,CFS
2024,2,2024Q2,740683,104439,98413,CFS
2024,3,2024Q3,790987,91834,101009,CFS
2024,4,2024Q4,757883,64927,77544,CFS
2025,1,2025Q1,791405,66853,82229,CFS
2025,2,2025Q2,745663,46761,51164,CFS
2025,3,2025Q3,860617,121661,122257,CFS
2025,4,2025Q4,938374,200737,196417,CFS
